MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,1601.7278419999998,ms,6404.217823000003,ms,0.0,ms,0,ms,1603250.0,kb,8016250.0,kb,0.0,kb,0.0,kb,354,44421956
1,78.36228199999998,ms,152.09253,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
2,483.6706220000004,ms,970.5189620000001,ms,0.0,ms,0,ms,1159110.0,kb,3477330.0,kb,0.0,kb,0.0,kb,354,44421956
3,2487.4094219999997,ms,9951.026516999986,ms,0.0,ms,0,ms,1159110.0,kb,5795550.0,kb,0.0,kb,0.0,kb,354,44421956
4,51.890127999999976,ms,100.43782699999997,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
5,308.6321370000002,ms,619.3041700000012,ms,0.0,ms,0,ms,806130.0,kb,2418390.0,kb,0.0,kb,0.0,kb,354,44421956
6,1513.8068350000008,ms,6056.755554999989,ms,0.0,ms,0,ms,537420.0,kb,2687100.0,kb,0.0,kb,0.0,kb,354,44421956
7,15.654878000000002,ms,28.108502999999992,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
8,1976.0825049999962,ms,7905.209128000007,ms,0.0,ms,0,ms,358280.0,kb,1791400.0,kb,0.0,kb,0.0,kb,354,44421956
9,10.823151000000003,ms,18.296604999999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
10,1328.4965119999972,ms,5314.274811999998,ms,0.0,ms,0,ms,358280.0,kb,1791400.0,kb,0.0,kb,0.0,kb,354,44421956
11,8.598742000000009,ms,14.341428,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
12,87.73904500000016,ms,177.93464199999966,ms,0.0,ms,0,ms,228960.0,kb,686880.0,kb,0.0,kb,0.0,kb,354,44421956
avgpool,34.31979700000002,ms,69.31207899999991,ms,0.0,ms,0,ms,76320.0,kb,228960.0,kb,0.0,kb,0.0,kb,354,44421956
0,0.45711500000000005,ms,0.45711500000000005,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
1,4557.052624000003,ms,9120.065302999998,ms,0.0,ms,0,ms,33920.0,kb,67840.0,kb,0.0,kb,0.0,kb,354,44421956
2,10.566602999999992,ms,15.772221999999989,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
3,0.7253459999999999,ms,0.7253459999999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
4,332.5437989999995,ms,671.4114860000005,ms,0.0,ms,0,ms,8480.0,kb,16960.0,kb,0.0,kb,0.0,kb,354,44421956
5,8.227345000000007,ms,11.525195000000009,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
6,20.66156099999996,ms,47.248350000000016,ms,0.0,ms,0,ms,33.125,kb,66.25,kb,0.0,kb,0.0,kb,354,44421956
