MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,50.9910820000001,ms,190.72211499999997,ms,132.12931162548065,ms,514.1214701280594,ms,0.0,kb,0.0,kb,1808568.5,kb,7240646.0,kb,354,44421956
1,10.364065,ms,14.593055999999988,ms,16.438720039367677,ms,28.70694397544861,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
2,16.589304000000013,ms,34.97190099999993,ms,26.03513604927063,ms,50.216896027565,ms,0.0,kb,0.0,kb,1310260.5,kb,3930781.5,kb,354,44421956
3,40.44660299999988,ms,150.88381699999968,ms,214.3615993490219,ms,845.5414120578766,ms,0.0,kb,0.0,kb,1231324.5,kb,16492406.5,kb,354,44421956
4,9.392086999999995,ms,13.059997000000003,ms,9.868928045272828,ms,15.977280161857605,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
5,15.799641000000017,ms,33.649154000000046,ms,21.741696300506593,ms,41.75571248435974,ms,0.0,kb,0.0,kb,816067.5,kb,2448202.5,kb,354,44421956
6,40.46856899999993,ms,150.971034,ms,147.4769599752426,ms,578.1607047128678,ms,0.0,kb,0.0,kb,693683.5,kb,5324065.0,kb,354,44421956
7,9.325703999999986,ms,12.967842000000006,ms,9.246688014507294,ms,14.078144021511077,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
8,37.915281000000064,ms,140.62957599999953,ms,193.21024087524415,ms,761.1344659481049,ms,0.0,kb,0.0,kb,358280.0,kb,4831874.0,kb,354,44421956
9,9.320902999999994,ms,12.954257999999987,ms,9.243392045974732,ms,13.710816101074219,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
10,37.93796300000006,ms,140.56431899999995,ms,139.83379238700866,ms,547.6898219118118,ms,0.0,kb,0.0,kb,358280.0,kb,3699074.0,kb,354,44421956
11,9.304806999999995,ms,12.937179999999985,ms,9.216736058235169,ms,13.683648089408875,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
12,15.576321999999998,ms,33.065238000000065,ms,15.697920033454896,ms,29.69875197315216,ms,0.0,kb,0.0,kb,228960.0,kb,686880.0,kb,354,44421956
avgpool,12.568165999999989,ms,25.356838000000025,ms,23.954783964157105,ms,46.159295845031735,ms,0.0,kb,0.0,kb,76320.0,kb,228960.0,kb,354,44421956
0,1.2586529999999998,ms,1.2586529999999998,ms,1.1084160165786743,ms,1.1084160165786743,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
1,29.658319999999943,ms,62.0120790000001,ms,333.02275220012666,ms,659.9280658597946,ms,0.0,kb,0.0,kb,33920.0,kb,101760.0,kb,354,44421956
2,9.405549000000008,ms,13.137944000000008,ms,9.378432036399841,ms,13.333216057777404,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
3,1.2648080000000004,ms,1.2648080000000004,ms,1.098016004562378,ms,1.098016004562378,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
4,24.95861700000005,ms,52.67222900000008,ms,58.653856497764586,ms,111.68348890209198,ms,0.0,kb,0.0,kb,8480.0,kb,25440.0,kb,354,44421956
5,9.399246,ms,13.052890000000016,ms,9.366496042728425,ms,13.214304077625275,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
6,24.441485000000085,ms,51.62808,ms,25.28601602077484,ms,44.99132790470123,ms,0.0,kb,0.0,kb,177.0,kb,531.0,kb,354,44421956
