MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv0,34.72181799999997,ms,127.44550399999986,ms,169.83187208747864,ms,667.0593277463913,ms,0.0,kb,0.0,kb,6650868.0,kb,26629668.0,kb,354
norm0,19.778166000000063,ms,58.98725400000009,ms,60.4424647102356,ms,176.01552085494995,ms,0.0,kb,0.0,kb,6650280.0,kb,33251400.0,kb,354
relu0,9.926111000000004,ms,14.214809999999993,ms,43.329440752983096,ms,82.75379278945923,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
pool0,15.913214000000064,ms,33.32756699999999,ms,57.38400000095368,ms,112.70499169921875,ms,0.0,kb,0.0,kb,4986364.0,kb,14959092.0,kb,354
norm1,17.269873,ms,51.254628000000096,ms,27.36940800857544,ms,77.3958723449707,ms,0.0,kb,0.0,kb,1665163.0,kb,8325815.0,kb,354
relu1,8.559733999999995,ms,11.972240000000008,ms,15.547839804172515,ms,27.5522558426857,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,23.43550000000002,ms,84.54155100000011,ms,56.51468772125244,ms,216.08713618564605,ms,0.0,kb,0.0,kb,3324258.0,kb,13303581.0,kb,354
norm2,17.41957599999999,ms,51.941316000000015,ms,38.176415712356565,ms,109.79699105072021,ms,0.0,kb,0.0,kb,3324258.0,kb,16621290.0,kb,354
relu2,8.420161999999987,ms,11.732964999999995,ms,24.293855753421784,ms,45.07942402887345,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,25.939722999999994,ms,94.83448000000001,ms,120.23785630607605,ms,471.1995844650269,ms,0.0,kb,0.0,kb,844799.0,kb,3520973.0,kb,354
norm1,16.942074999999992,ms,50.32457499999996,ms,32.47552006340027,ms,92.61606400489808,ms,0.0,kb,0.0,kb,2506901.0,kb,12534505.0,kb,354
relu1,8.427240999999997,ms,11.758206999999992,ms,19.890527913570406,ms,36.25916781377792,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,22.56333900000001,ms,81.18685600000003,ms,69.01535971450805,ms,266.3061426239014,ms,0.0,kb,0.0,kb,3327333.0,kb,13315881.0,kb,354
