MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv0,1974.9780920000032,ms,7896.765919000001,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,6957956
norm0,682.8505020000005,ms,2054.0465849999982,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,6957956
relu0,353.8254490000002,ms,703.5233169999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
pool0,2378.852886999999,ms,4761.84360600001,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,174.23155200000014,ms,527.0957989999993,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,28.306475000000052,ms,53.435749999999985,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,364.0620459999987,ms,2430.906563999999,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,353.6795940000004,ms,1067.4338340000008,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,157.9413259999998,ms,312.37437400000044,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1698.789467000002,ms,6792.362667999996,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,260.61690899999996,ms,785.5233679999999,ms,0.0,ms,0,ms,2493120.0,kb,12466131.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,75.91849400000002,ms,148.0525119999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,490.0146520000009,ms,3257.508142000002,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,344.78724200000056,ms,1042.4405749999985,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,171.9046959999998,ms,340.20240600000017,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1700.1906010000025,ms,6797.69765699999,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,332.2416740000011,ms,1000.345711999998,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,167.952944,ms,331.82800800000064,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
