MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv0,35.69053399999998,ms,131.22256600000023,ms,170.67276801490783,ms,670.2808003482819,ms,0.0,kb,0.0,kb,6648516.0,kb,26620260.0,kb,354,6957956
norm0,20.41357499999998,ms,60.86586799999994,ms,60.69072040748596,ms,176.60054583740234,ms,0.0,kb,0.0,kb,6648516.0,kb,33242580.0,kb,354,6957956
relu0,10.134657000000015,ms,14.57540500000001,ms,43.5149440574646,ms,83.03449617862701,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
pool0,16.455604000000026,ms,34.633089000000034,ms,57.68057656192779,ms,113.3555526857376,ms,0.0,kb,0.0,kb,4986434.0,kb,14959302.0,kb,354,6957956
norm1,17.664547000000024,ms,52.35551199999995,ms,27.520224264144897,ms,77.7778245010376,ms,0.0,kb,0.0,kb,1667764.0,kb,8338820.0,kb,354,6957956
relu1,8.593283999999993,ms,12.004993,ms,15.559839735984802,ms,27.573055786132812,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,24.246352999999985,ms,87.58382099999994,ms,57.209887672424315,ms,218.70044770240784,ms,0.0,kb,0.0,kb,3324258.0,kb,13303581.0,kb,354,6957956
norm2,17.641759000000036,ms,52.388298999999975,ms,38.066079895019534,ms,109.45039902687073,ms,0.0,kb,0.0,kb,3324258.0,kb,16621290.0,kb,354,6957956
relu2,8.494038999999999,ms,11.869352000000006,ms,24.36361574459076,ms,45.22211206912994,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,26.376069000000015,ms,96.55115800000002,ms,120.48726432323456,ms,472.2511051044464,ms,0.0,kb,0.0,kb,842673.0,kb,3512469.0,kb,354,6957956
norm1,17.15189600000003,ms,50.86695900000008,ms,32.34547198486328,ms,92.24588797569275,ms,0.0,kb,0.0,kb,2504323.0,kb,12521615.0,kb,354,6957956
relu1,8.503968999999998,ms,11.878419000000005,ms,19.96556788253784,ms,36.41510386276245,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,22.93002899999998,ms,82.61605399999986,ms,69.2553596496582,ms,267.33564581489566,ms,0.0,kb,0.0,kb,3324258.0,kb,13303581.0,kb,354,6957956
norm2,17.527864000000015,ms,52.18988099999985,ms,38.02927982711792,ms,109.35785521888732,ms,0.0,kb,0.0,kb,3324258.0,kb,16621290.0,kb,354,6957956
relu2,8.401118,ms,11.754065999999995,ms,24.277087821006774,ms,45.11609612751007,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,23.467533999999965,ms,84.95963199999997,ms,117.91814395618438,ms,462.2440649499893,ms,0.0,kb,0.0,kb,845954.0,kb,3525593.0,kb,354,6957956
norm1,17.084866999999978,ms,50.604749999999974,ms,37.57654356002808,ms,108.04579148101807,ms,0.0,kb,0.0,kb,3325381.0,kb,16626905.0,kb,354,6957956
