MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv,1975.996393,ms,7900.283777999998,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,5604004
bn,668.6440659999997,ms,2013.3533219999988,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,5604004
maxpool1,2183.474218999999,ms,4371.755585999996,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,5604004
conv,279.0826319999999,ms,1861.9157549999964,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,5604004
bn,168.09140499999975,ms,509.1585040000012,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,5604004
conv,4489.34441799999,ms,17959.791258,ms,0.0,ms,0,ms,4986240.0,kb,24931200.0,kb,0.0,kb,0.0,kb,354,5604004
bn,521.4873050000012,ms,1574.4980930000006,ms,0.0,ms,0,ms,4986240.0,kb,24932262.0,kb,0.0,kb,0.0,kb,354,5604004
maxpool2,1682.2639380000014,ms,3369.788676000005,ms,0.0,ms,0,ms,3739680.0,kb,11219040.0,kb,0.0,kb,0.0,kb,354,5604004
conv,150.0167109999993,ms,975.4688819999996,ms,0.0,ms,0,ms,415520.0,kb,2908640.0,kb,0.0,kb,0.0,kb,354,5604004
bn,42.18086100000012,ms,129.7139029999998,ms,0.0,ms,0,ms,415520.0,kb,2077954.0,kb,0.0,kb,0.0,kb,354,5604004
conv,204.51021400000027,ms,1354.1589769999996,ms,0.0,ms,0,ms,623280.0,kb,4362960.0,kb,0.0,kb,0.0,kb,354,5604004
bn,59.229202000000015,ms,181.56555699999996,ms,0.0,ms,0,ms,623280.0,kb,3116931.0,kb,0.0,kb,0.0,kb,354,5604004
conv,1139.8699010000007,ms,4562.335765999989,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,5604004
bn,69.80107500000004,ms,212.7769349999995,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,5604004
conv,92.28299400000012,ms,608.905458,ms,0.0,ms,0,ms,103880.0,kb,727160.0,kb,0.0,kb,0.0,kb,354,5604004
bn,18.83580600000002,ms,59.654255999999904,ms,0.0,ms,0,ms,103880.0,kb,519488.5,kb,0.0,kb,0.0,kb,354,5604004
conv,95.90615699999994,ms,381.45421899999985,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,5604004
bn,23.532652000000006,ms,72.86714499999988,ms,0.0,ms,0,ms,207760.0,kb,1038977.0,kb,0.0,kb,0.0,kb,354,5604004
0,1526.3821549999955,ms,3055.0718109999953,ms,0.0,ms,0,ms,3739680.0,kb,11219040.0,kb,0.0,kb,0.0,kb,354,5604004
conv,106.91569700000002,ms,705.5156040000019,ms,0.0,ms,0,ms,207760.0,kb,1454320.0,kb,0.0,kb,0.0,kb,354,5604004
bn,23.65397799999997,ms,73.74058800000009,ms,0.0,ms,0,ms,207760.0,kb,1038977.0,kb,0.0,kb,0.0,kb,354,5604004
conv,351.6591179999993,ms,2342.5001330000086,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,5604004
bn,78.6351639999999,ms,240.64452600000024,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,5604004
conv,324.97162499999837,ms,2155.9448589999834,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,5604004
bn,79.89252699999983,ms,244.62294499999993,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,5604004
conv,2191.0757030000022,ms,8764.621887999994,ms,0.0,ms,0,ms,1246560.0,kb,6232800.0,kb,0.0,kb,0.0,kb,354,5604004
bn,104.3428470000002,ms,316.41518200000075,ms,0.0,ms,0,ms,1246560.0,kb,6233862.0,kb,0.0,kb,0.0,kb,354,5604004
conv,146.643423999999,ms,967.2869619999982,ms,0.0,ms,0,ms,207760.0,kb,1454320.0,kb,0.0,kb,0.0,kb,354,5604004
bn,28.848419000000007,ms,89.53909600000006,ms,0.0,ms,0,ms,207760.0,kb,1038977.0,kb,0.0,kb,0.0,kb,354,5604004
conv,348.3446060000002,ms,1394.3309959999974,ms,0.0,ms,0,ms,623280.0,kb,3116400.0,kb,0.0,kb,0.0,kb,354,5604004
bn,48.68990699999996,ms,149.16770899999997,ms,0.0,ms,0,ms,623280.0,kb,3116931.0,kb,0.0,kb,0.0,kb,354,5604004
0,2040.361903,ms,4083.5087349999926,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,5604004
conv,190.9247840000002,ms,1260.9869679999958,ms,0.0,ms,0,ms,415520.0,kb,2908640.0,kb,0.0,kb,0.0,kb,354,5604004
bn,40.47574600000012,ms,124.79276299999984,ms,0.0,ms,0,ms,415520.0,kb,2077954.0,kb,0.0,kb,0.0,kb,354,5604004
maxpool3,969.9526800000014,ms,1941.6467140000022,ms,0.0,ms,0,ms,2337300.0,kb,7011900.0,kb,0.0,kb,0.0,kb,354,5604004
conv,269.72200099999986,ms,1789.8836500000034,ms,0.0,ms,0,ms,311640.0,kb,2181480.0,kb,0.0,kb,0.0,kb,354,5604004
bn,35.007204999999885,ms,107.9934650000002,ms,0.0,ms,0,ms,311640.0,kb,1559262.0,kb,0.0,kb,0.0,kb,354,5604004
conv,133.48827899999998,ms,876.0681750000035,ms,0.0,ms,0,ms,155820.0,kb,1090740.0,kb,0.0,kb,0.0,kb,354,5604004
bn,21.772070999999986,ms,68.24324999999999,ms,0.0,ms,0,ms,155820.0,kb,779631.0,kb,0.0,kb,0.0,kb,354,5604004
conv,518.7011899999998,ms,2077.193768000002,ms,0.0,ms,0,ms,337610.0,kb,1688050.0,kb,0.0,kb,0.0,kb,354,5604004
bn,34.57298000000004,ms,106.57563499999969,ms,0.0,ms,0,ms,337610.0,kb,1689200.5,kb,0.0,kb,0.0,kb,354,5604004
conv,42.40514200000008,ms,269.766627,ms,0.0,ms,0,ms,25970.0,kb,181790.0,kb,0.0,kb,0.0,kb,354,5604004
bn,11.709006000000032,ms,38.209568000000004,ms,0.0,ms,0,ms,25970.0,kb,129938.5,kb,0.0,kb,0.0,kb,354,5604004
conv,59.584549999999936,ms,236.12245400000018,ms,0.0,ms,0,ms,77910.0,kb,389550.0,kb,0.0,kb,0.0,kb,354,5604004
bn,16.833680999999977,ms,52.92363600000005,ms,0.0,ms,0,ms,77910.0,kb,389815.5,kb,0.0,kb,0.0,kb,354,5604004
0,947.1817420000018,ms,1896.6967530000034,ms,0.0,ms,0,ms,2337300.0,kb,7011900.0,kb,0.0,kb,0.0,kb,354,5604004
conv,110.1610840000001,ms,724.0933610000008,ms,0.0,ms,0,ms,103880.0,kb,727160.0,kb,0.0,kb,0.0,kb,354,5604004
bn,17.524026000000006,ms,55.46678599999995,ms,0.0,ms,0,ms,103880.0,kb,519754.0,kb,0.0,kb,0.0,kb,354,5604004
conv,233.92047499999967,ms,1555.9252839999947,ms,0.0,ms,0,ms,259700.0,kb,1817900.0,kb,0.0,kb,0.0,kb,354,5604004
bn,29.661277999999896,ms,92.28747800000033,ms,0.0,ms,0,ms,259700.0,kb,1299385.0,kb,0.0,kb,0.0,kb,354,5604004
conv,158.76696399999986,ms,1046.2208930000015,ms,0.0,ms,0,ms,181790.0,kb,1272530.0,kb,0.0,kb,0.0,kb,354,5604004
bn,23.136599000000036,ms,71.81129999999995,ms,0.0,ms,0,ms,181790.0,kb,909569.5,kb,0.0,kb,0.0,kb,354,5604004
conv,623.1158720000003,ms,2494.938345999999,ms,0.0,ms,0,ms,363580.0,kb,1817900.0,kb,0.0,kb,0.0,kb,354,5604004
bn,36.89778099999989,ms,114.30100499999999,ms,0.0,ms,0,ms,363580.0,kb,1819139.0,kb,0.0,kb,0.0,kb,354,5604004
conv,55.28212000000037,ms,356.4183399999993,ms,0.0,ms,0,ms,38955.0,kb,272685.0,kb,0.0,kb,0.0,kb,354,5604004
bn,12.457078999999997,ms,40.09451600000007,ms,0.0,ms,0,ms,38955.0,kb,194907.75,kb,0.0,kb,0.0,kb,354,5604004
