MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv,35.08825399999993,ms,127.8138679999999,ms,169.439295835495,ms,664.994239151001,ms,0.0,kb,0.0,kb,6752077.5,kb,27034506.0,kb,354,5604004
bn,22.30584199999996,ms,65.68899700000003,ms,62.10502405929565,ms,180.44006328201294,ms,0.0,kb,0.0,kb,6734878.5,kb,33674392.5,kb,354,5604004
maxpool1,16.86101099999999,ms,35.518562000000024,ms,63.37801583480835,ms,124.72563192749024,ms,0.0,kb,0.0,kb,5024253.0,kb,15072759.0,kb,354,5604004
conv,26.702865000000042,ms,95.56303599999991,ms,44.343648184776306,ms,166.07747161006927,ms,0.0,kb,0.0,kb,1667222.5,kb,6675439.0,kb,354,5604004
bn,20.489659000000017,ms,60.59225200000001,ms,29.608895793914794,ms,83.50863927459717,ms,0.0,kb,0.0,kb,1721921.5,kb,8609607.5,kb,354,5604004
conv,28.635628999999998,ms,103.17789199999999,ms,327.93318396854403,ms,1300.6357432308198,ms,0.0,kb,0.0,kb,5040649.0,kb,20610025.0,kb,354,5604004
bn,20.186448,ms,59.685667000000116,ms,51.123519773483274,ms,148.03443154144287,ms,0.0,kb,0.0,kb,5047047.0,kb,25235235.0,kb,354,5604004
maxpool2,15.657177999999991,ms,33.255431999999956,ms,50.36121603107453,ms,98.88918442821503,ms,0.0,kb,0.0,kb,3957736.5,kb,11873209.5,kb,354,5604004
conv,24.797116999999982,ms,86.97675000000027,ms,45.59075147724152,ms,171.42495979499816,ms,0.0,kb,0.0,kb,432633.5,kb,1730534.0,kb,354,5604004
bn,20.11942800000003,ms,59.39771700000003,ms,19.971679920196532,ms,54.43708839988709,ms,0.0,kb,0.0,kb,442346.5,kb,2211732.5,kb,354,5604004
conv,25.52099599999998,ms,91.0762550000001,ms,53.54768001270294,ms,203.2683829498291,ms,0.0,kb,0.0,kb,686982.0,kb,2749693.0,kb,354,5604004
bn,19.843361999999953,ms,58.6232440000001,ms,20.677279888153077,ms,56.75235189628601,ms,0.0,kb,0.0,kb,725577.5,kb,3627887.5,kb,354,5604004
conv,26.237966999999994,ms,93.96460899999997,ms,111.62105538845063,ms,435.7249602022171,ms,0.0,kb,0.0,kb,880430.5,kb,3992638.5,kb,354,5604004
bn,19.87207200000001,ms,58.82620399999998,ms,23.97676815223694,ms,66.7290878753662,ms,0.0,kb,0.0,kb,948193.5,kb,4740967.5,kb,354,5604004
conv,22.560297000000016,ms,78.19909900000012,ms,33.89216002655029,ms,124.73238332462311,ms,0.0,kb,0.0,kb,103880.0,kb,415520.0,kb,354,5604004
bn,19.875807999999996,ms,58.89166699999998,ms,19.690719871520997,ms,52.78611196899414,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
conv,25.83740199999991,ms,92.626439,ms,40.43542401981354,ms,150.91622333526612,ms,0.0,kb,0.0,kb,207760.0,kb,832855.5,kb,354,5604004
bn,19.83174100000006,ms,58.68792699999995,ms,19.646208219528198,ms,52.6749124546051,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
0,15.529150999999999,ms,32.940044,ms,42.8417926530838,ms,83.90393646717071,ms,0.0,kb,0.0,kb,3811010.0,kb,11433030.0,kb,354,5604004
conv,24.277684999999988,ms,83.89164899999999,ms,35.78208006381988,ms,130.89113587474824,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
bn,18.133462000000023,ms,53.99423199999977,ms,17.94121606063843,ms,48.4742082157135,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
conv,21.165808000000055,ms,76.30635999999996,ms,59.824351570129394,ms,230.08294428157805,ms,0.0,kb,0.0,kb,938198.5,kb,3754559.0,kb,354,5604004
bn,16.466645000000028,ms,48.94863199999993,ms,20.300672164916993,ms,56.42643264579773,ms,0.0,kb,0.0,kb,922841.5,kb,4614207.5,kb,354,5604004
conv,20.944491999999983,ms,75.37855400000004,ms,59.48035194396973,ms,228.72944074440002,ms,0.0,kb,0.0,kb,838612.5,kb,3356215.0,kb,354,5604004
bn,16.554248000000005,ms,49.51853499999999,ms,20.498464303970337,ms,57.01219277954102,ms,0.0,kb,0.0,kb,838117.0,kb,4190585.0,kb,354,5604004
conv,21.248718999999987,ms,76.43061600000004,ms,172.9044789791107,ms,682.4005426425933,ms,0.0,kb,0.0,kb,1260237.0,kb,5929133.0,kb,354,5604004
bn,16.692509000000015,ms,49.72000400000005,ms,24.99075206184387,ms,70.38966413879395,ms,0.0,kb,0.0,kb,1262283.5,kb,6311417.5,kb,354,5604004
conv,18.625626999999994,ms,65.19470899999985,ms,35.61225605583191,ms,133.18326376342773,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
bn,16.438144000000005,ms,49.0495450000001,ms,16.278399805068968,ms,44.316319890975954,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
conv,21.59889199999997,ms,78.03917799999984,ms,46.12393628787994,ms,175.32124804878234,ms,0.0,kb,0.0,kb,666335.5,kb,2771719.0,kb,354,5604004
bn,16.287182000000023,ms,48.60804400000004,ms,17.839103874206543,ms,49.145920112609865,ms,0.0,kb,0.0,kb,701247.5,kb,3506237.5,kb,354,5604004
0,12.889324000000023,ms,27.34222900000008,ms,50.81990398788452,ms,100.1068166923523,ms,0.0,kb,0.0,kb,5043235.5,kb,15129706.5,kb,354,5604004
conv,18.614467000000005,ms,65.26711200000003,ms,48.265439836502075,ms,183.98179206943513,ms,0.0,kb,0.0,kb,440511.0,kb,1762044.0,kb,354,5604004
bn,16.408643999999992,ms,49.07902499999993,ms,17.608447866439818,ms,48.408448055267336,ms,0.0,kb,0.0,kb,456559.5,kb,2282797.5,kb,354,5604004
maxpool3,12.394917999999983,ms,26.05591099999996,ms,33.23337555408478,ms,64.90172734355926,ms,0.0,kb,0.0,kb,2501030.0,kb,7503090.0,kb,354,5604004
conv,18.94630100000005,ms,66.47729399999997,ms,61.4329281244278,ms,236.53532777309417,ms,0.0,kb,0.0,kb,311640.0,kb,1246560.0,kb,354,5604004
bn,16.62567199999999,ms,49.5988810000001,ms,16.87353594017029,ms,46.08454365730286,ms,0.0,kb,0.0,kb,311640.0,kb,1558200.0,kb,354,5604004
conv,18.98953699999999,ms,66.624404,ms,40.9986237039566,ms,154.6226235408783,ms,0.0,kb,0.0,kb,155820.0,kb,623280.0,kb,354,5604004
bn,16.46770399999997,ms,49.00855000000002,ms,16.260351781845092,ms,43.83574384880066,ms,0.0,kb,0.0,kb,155820.0,kb,779100.0,kb,354,5604004
conv,21.49626700000002,ms,77.4435379999999,ms,64.58188790130615,ms,248.95379257392884,ms,0.0,kb,0.0,kb,337610.0,kb,2111614.0,kb,354,5604004
bn,16.46902500000001,ms,49.00159599999998,ms,16.95910397720337,ms,46.389247621536256,ms,0.0,kb,0.0,kb,337610.0,kb,1688050.0,kb,354,5604004
conv,18.582676000000003,ms,65.1336519999998,ms,35.137088028907776,ms,131.33948779869078,ms,0.0,kb,0.0,kb,25970.0,kb,103880.0,kb,354,5604004
bn,16.529948000000026,ms,49.260204,ms,16.287904041290282,ms,43.99824001312256,ms,0.0,kb,0.0,kb,25970.0,kb,129850.0,kb,354,5604004
conv,21.359413000000036,ms,76.87136899999992,ms,24.239136116981506,ms,87.59164848709106,ms,0.0,kb,0.0,kb,77910.0,kb,344031.0,kb,354,5604004
bn,16.38635300000002,ms,48.80563200000003,ms,16.18563191986084,ms,43.6888000202179,ms,0.0,kb,0.0,kb,77910.0,kb,389550.0,kb,354,5604004
0,12.90425499999998,ms,27.468377000000007,ms,29.60748823738098,ms,57.67590442180634,ms,0.0,kb,0.0,kb,2460569.5,kb,7381708.5,kb,354,5604004
conv,21.179989999999982,ms,76.37752999999992,ms,47.56848041343689,ms,181.1615683107376,ms,0.0,kb,0.0,kb,103880.0,kb,416049.5,kb,354,5604004
bn,16.53270599999999,ms,49.18047200000008,ms,16.352223833084107,ms,44.11203192329407,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
conv,18.619219999999984,ms,65.2498369999999,ms,60.42028775882721,ms,232.5582078332901,ms,0.0,kb,0.0,kb,259700.0,kb,1038800.0,kb,354,5604004
bn,16.611868999999988,ms,49.710964,ms,16.709791845321654,ms,45.59945584869385,ms,0.0,kb,0.0,kb,259700.0,kb,1298500.0,kb,354,5604004
conv,18.638519000000038,ms,65.12591499999994,ms,51.593152035713196,ms,197.02819284915924,ms,0.0,kb,0.0,kb,181790.0,kb,727160.0,kb,354,5604004
bn,16.571166000000012,ms,49.35407200000003,ms,16.494079668045043,ms,44.86534359169006,ms,0.0,kb,0.0,kb,181790.0,kb,908950.0,kb,354,5604004
conv,21.323366000000043,ms,76.85216,ms,70.78681580734253,ms,273.9224301948547,ms,0.0,kb,0.0,kb,379945.5,kb,2423458.5,kb,354,5604004
bn,16.395677999999997,ms,48.74627600000001,ms,17.09123201751709,ms,46.786239656448366,ms,0.0,kb,0.0,kb,400177.5,kb,2000887.5,kb,354,5604004
conv,18.735626000000003,ms,65.57833899999997,ms,36.61123209953308,ms,137.21305603313445,ms,0.0,kb,0.0,kb,39043.5,kb,156174.0,kb,354,5604004
bn,16.471149999999966,ms,49.28788000000004,ms,16.25593587875366,ms,43.96681592941284,ms,0.0,kb,0.0,kb,39043.5,kb,195217.5,kb,354,5604004
conv,21.339892999999986,ms,76.95674499999993,ms,25.29231991195679,ms,91.96444770336151,ms,0.0,kb,0.0,kb,103880.0,kb,468797.0,kb,354,5604004
bn,16.295057999999997,ms,48.47564200000003,ms,16.077375951766967,ms,43.45209591293335,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
0,12.973589999999977,ms,27.70623500000001,ms,30.91619208240509,ms,60.31049627685547,ms,0.0,kb,0.0,kb,2542092.5,kb,7626277.5,kb,354,5604004
conv,21.479093000000024,ms,77.43130200000004,ms,49.51280047225952,ms,188.83059263038635,ms,0.0,kb,0.0,kb,103880.0,kb,416049.5,kb,354,5604004
bn,16.72900700000002,ms,49.773266000000014,ms,16.501663787841796,ms,44.57334378814697,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
conv,18.380734000000004,ms,64.28319099999985,ms,52.04265602016449,ms,199.01273610210418,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
bn,16.493325000000027,ms,49.315242000000005,ms,16.454559762954712,ms,44.98511975288391,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
conv,18.446212999999982,ms,64.6061320000001,ms,51.52864004707337,ms,196.95366468811036,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
bn,16.441623000000025,ms,49.06776399999994,ms,16.396319801330566,ms,44.75027173805237,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
conv,21.29013,ms,76.59193700000019,ms,77.65577568626404,ms,301.3832638540268,ms,0.0,kb,0.0,kb,480910.5,kb,3073185.0,kb,354,5604004
bn,16.518734000000002,ms,49.20006600000007,ms,17.95644787979126,ms,49.328447904586795,ms,0.0,kb,0.0,kb,509133.0,kb,2545665.0,kb,354,5604004
conv,18.614547,ms,65.26532500000009,ms,36.81251225471497,ms,138.07878389835358,ms,0.0,kb,0.0,kb,39043.5,kb,156174.0,kb,354,5604004
bn,16.441655000000026,ms,49.099854999999884,ms,16.21942393875122,ms,43.854399993896486,ms,0.0,kb,0.0,kb,39043.5,kb,195217.5,kb,354,5604004
conv,21.59339700000004,ms,77.94135400000013,ms,25.575967888832093,ms,93.10956729793548,ms,0.0,kb,0.0,kb,103880.0,kb,468797.0,kb,354,5604004
bn,16.545331000000026,ms,49.274734000000144,ms,16.333951902389526,ms,44.19452801513672,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
0,13.06800300000001,ms,27.924628999999968,ms,31.073344133377073,ms,60.63235234069824,ms,0.0,kb,0.0,kb,2513545.0,kb,7540635.0,kb,354,5604004
conv,21.321171999999986,ms,76.81729100000011,ms,49.29926481819153,ms,188.02928170108794,ms,0.0,kb,0.0,kb,103880.0,kb,416049.5,kb,354,5604004
