MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,33.00378799999996,ms,120.02087899999988,ms,53.6687359085083,ms,202.13440033340453,ms,0.0,kb,0.0,kb,3325066.5,kb,13326462.0,kb,354,2228996
1,20.785385,ms,61.63759300000006,ms,40.55664011383057,ms,116.17558348846435,ms,0.0,kb,0.0,kb,3325066.5,kb,16625332.5,kb,354,2228996
2,11.86263900000001,ms,22.33912200000001,ms,27.14905583000183,ms,71.86393563652038,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,2228996
0,19.396122000000013,ms,75.96478299999998,ms,95.03993583965301,ms,456.5219839935303,ms,0.0,kb,0.0,kb,3325066.5,kb,16625332.5,kb,354,2228996
1,18.56545399999993,ms,55.569982000000174,ms,38.55619169235229,ms,110.84380723190307,ms,0.0,kb,0.0,kb,3325066.5,kb,16625332.5,kb,354,2228996
2,10.59736299999999,ms,19.699871000000016,ms,26.0459519572258,ms,69.46803169488906,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,2228996
1,23.903602999999972,ms,86.24711899999997,ms,46.20649607753754,ms,174.8896641254425,ms,0.0,kb,0.0,kb,1815656.0,kb,7288820.0,kb,354,2228996
2,18.038217,ms,53.488766000000055,ms,29.416927965164184,ms,83.36160004806518,ms,0.0,kb,0.0,kb,1814890.0,kb,9074450.0,kb,354,2228996
0,23.14548799999996,ms,83.23481000000007,ms,74.59091200160981,ms,288.45020794582365,ms,0.0,kb,0.0,kb,10130176.0,kb,40546900.0,kb,354,2228996
1,18.186217000000003,ms,54.93788799999999,ms,77.93356796646118,ms,229.10908790016174,ms,0.0,kb,0.0,kb,10051776.0,kb,50258880.0,kb,354,2228996
2,10.642507999999996,ms,20.182934999999983,ms,61.6889282617569,ms,176.4712959423065,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,2228996
0,16.725433999999986,ms,64.98557199999999,ms,83.11446402645112,ms,398.9578240842819,ms,0.0,kb,0.0,kb,2591121.5,kb,12955607.5,kb,354,2228996
1,17.96318600000002,ms,53.72391100000005,ms,32.565951820373535,ms,93.04342395591736,ms,0.0,kb,0.0,kb,2493344.0,kb,12466720.0,kb,354,2228996
