MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,169.78886400000002,ms,667.9447380000008,ms,304.8009578056336,ms,1207.427938879013,ms,0.0,kb,0.0,kb,6648320.0,kb,26619476.0,kb,354
bn1,19.805285999999995,ms,59.60613099999995,ms,60.53811206626892,ms,176.4397123413086,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354
relu,9.595373000000004,ms,13.760201000000002,ms,43.07280030965805,ms,82.38214418268204,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
maxpool,15.074548000000023,ms,31.57084899999998,ms,56.56739179706573,ms,111.31753603172302,ms,0.0,kb,0.0,kb,4987608.0,kb,14962824.0,kb,354
conv1,25.175066000000026,ms,92.15767300000003,ms,130.85731202888488,ms,513.9308794374466,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354
bn1,17.254642999999984,ms,51.6049010000001,ms,27.146751983642577,ms,76.86150423049926,ms,0.0,kb,0.0,kb,1746016.0,kb,8730080.0,kb,354
relu,16.117479,ms,22.54499200000001,ms,30.28425575733185,ms,53.91273581981659,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,22.432302,ms,80.99512999999995,ms,127.45545565032958,ms,500.37535917663575,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354
bn2,17.240016000000015,ms,51.74824299999996,ms,27.186176040649414,ms,76.96531237792969,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
conv1,22.611883000000006,ms,81.83375499999985,ms,127.53599959278107,ms,500.790654917717,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354
bn1,17.114640000000023,ms,51.160700000000034,ms,27.011552068710326,ms,76.47254438781738,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
relu,15.999199999999979,ms,22.336463000000023,ms,30.19561578655243,ms,53.74108777618408,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,22.34326300000006,ms,80.64795000000001,ms,127.31334373664856,ms,499.859007976532,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354
bn2,17.081632000000045,ms,51.21900700000009,ms,27.030176038742066,ms,76.57420833396911,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
conv1,21.97206699999999,ms,78.24559799999993,ms,138.66287988567353,ms,545.2161272850036,ms,0.0,kb,0.0,kb,963392.0,kb,3853568.0,kb,354
bn1,17.202459000000037,ms,51.67436499999991,ms,21.228159887313844,ms,59.11910440635681,ms,0.0,kb,0.0,kb,831792.0,kb,4158960.0,kb,354
