MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv1,1942.0330280000003,ms,7764.77854300002,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,673.5454100000012,ms,2027.9391240000068,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,23639428
relu,348.0066100000003,ms,692.080315,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,23639428
maxpool,2261.576792,ms,4528.437803000003,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,23639428
conv1,277.4602839999998,ms,1831.2313139999976,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,166.21896899999987,ms,506.50105900000057,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv2,1444.352420999997,ms,5776.700696999995,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354,23639428
bn2,118.16794300000018,ms,360.2381720000001,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv3,699.2865779999976,ms,4690.402508000005,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
bn3,694.6046550000036,ms,2096.4144539999943,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,23639428
relu,449.5421280000006,ms,889.0130109999978,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
0,704.336584999999,ms,4716.773613000007,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
1,705.522338000001,ms,2130.708389999998,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,23639428
conv1,734.8635169999976,ms,4839.211401999993,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,178.16882399999974,ms,549.7254899999991,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv2,1460.4115429999972,ms,5839.777104000004,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354,23639428
bn2,118.678525,ms,361.92961400000047,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv3,709.8763,ms,4754.662143000008,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
bn3,740.8148580000002,ms,2238.1009839999924,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,23639428
relu,454.63824999999963,ms,898.7253809999979,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
conv1,727.363656000001,ms,4781.717481999991,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,179.74705299999934,ms,552.7403190000007,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv2,1465.2925990000008,ms,5858.9932709999985,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354,23639428
bn2,118.74336900000003,ms,362.2896059999998,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv3,731.6231949999999,ms,4897.25277199999,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
bn3,892.4204600000025,ms,2689.167204000002,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,23639428
