MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv1,38.30695999999999,ms,139.6477860000001,ms,172.39798411941527,ms,675.9739524707794,ms,0.0,kb,0.0,kb,6648320.0,kb,26619476.0,kb,354,23639428
bn1,22.730277999999974,ms,67.12872000000016,ms,62.44489565658569,ms,181.42326340484618,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,23639428
relu,11.057696999999985,ms,15.655384999999997,ms,43.94268761539459,ms,83.53177632427216,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,23639428
maxpool,18.015235999999955,ms,37.67225599999992,ms,58.82755183315277,ms,115.43273506832122,ms,0.0,kb,0.0,kb,5043552.0,kb,15130656.0,kb,354,23639428
conv1,26.784811999999977,ms,95.79002799999998,ms,44.3153280544281,ms,166.03763098526002,ms,0.0,kb,0.0,kb,1662176.0,kb,6655253.0,kb,354,23639428
bn1,20.434541,ms,60.53557200000002,ms,29.528031854629518,ms,83.24796717071533,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv2,29.415241999999935,ms,106.80636000000014,ms,133.166848402977,ms,521.8219521799087,ms,0.0,kb,0.0,kb,1662176.0,kb,6790481.0,kb,354,23639428
bn2,20.084121999999997,ms,59.61753200000016,ms,29.078943870544432,ms,81.97497543525695,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv3,25.824511999999974,ms,92.65205600000013,ms,87.3522882232666,ms,338.66335924720767,ms,0.0,kb,0.0,kb,6648320.0,kb,26599829.0,kb,354,23639428
bn3,19.803141000000014,ms,58.676961000000006,ms,61.14176121902466,ms,178.31888130378724,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,23639428
relu,27.89475599999997,ms,38.557100999999946,ms,74.2056318206787,ms,137.01180721759795,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
0,25.255980000000008,ms,90.27688500000001,ms,86.72540768814086,ms,336.2291508960724,ms,0.0,kb,0.0,kb,6648320.0,kb,26599829.0,kb,354,23639428
1,19.805081,ms,58.68818899999993,ms,61.179872995376584,ms,178.40886572265626,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,23639428
conv1,25.517034000000052,ms,91.39501799999987,ms,87.39868823051452,ms,338.8523190612793,ms,0.0,kb,0.0,kb,1662176.0,kb,6655253.0,kb,354,23639428
bn1,19.99596600000002,ms,59.44992000000003,ms,29.31846385383606,ms,82.82099119186401,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv2,26.615774999999953,ms,95.86620800000016,ms,130.7368315563202,ms,512.2675198688507,ms,0.0,kb,0.0,kb,1662176.0,kb,6790481.0,kb,354,23639428
bn2,19.77582300000006,ms,58.69353599999993,ms,28.866111505508425,ms,81.4477753982544,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv3,25.37209300000006,ms,90.8593659999999,ms,86.91900782394409,ms,336.97023826313017,ms,0.0,kb,0.0,kb,6648320.0,kb,26599829.0,kb,354,23639428
bn3,19.886135,ms,59.00126299999997,ms,61.279040832519534,ms,178.74937755966187,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,23639428
relu,27.206926999999933,ms,37.695460999999895,ms,73.94233600521088,ms,136.70028780937196,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
conv1,23.281428000000044,ms,83.73659400000014,ms,86.19203156471252,ms,334.6855350675583,ms,0.0,kb,0.0,kb,1662176.0,kb,6655253.0,kb,354,23639428
bn1,16.683579000000016,ms,49.90614099999998,ms,26.961376079559326,ms,76.46560018157959,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv2,21.907688000000043,ms,79.29545400000015,ms,127.51555204105377,ms,500.9447999267578,ms,0.0,kb,0.0,kb,1662176.0,kb,6790481.0,kb,354,23639428
bn2,16.545420999999962,ms,49.46659499999995,ms,26.486336153030397,ms,75.04432012557983,ms,0.0,kb,0.0,kb,1662176.0,kb,8310880.0,kb,354,23639428
conv3,21.435365000000022,ms,77.6782379999998,ms,84.36252752685547,ms,328.49139035224914,ms,0.0,kb,0.0,kb,6648320.0,kb,26599829.0,kb,354,23639428
bn3,16.41161399999997,ms,49.032712000000046,ms,58.753376056671144,ms,171.80192033958434,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,23639428
relu,23.38183499999998,ms,32.59348700000003,ms,71.95289563560486,ms,134.0035518846512,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
conv1,21.13362199999997,ms,76.2617749999999,ms,134.08953624629973,ms,527.1926084356307,ms,0.0,kb,0.0,kb,3324944.0,kb,13306325.0,kb,354,23639428
bn1,16.562517000000028,ms,49.55821899999996,ms,37.35171176528931,ms,107.67126394462585,ms,0.0,kb,0.0,kb,3324944.0,kb,16624720.0,kb,354,23639428
conv2,20.986944999999984,ms,74.89555799999984,ms,250.99078191375733,ms,994.947196518898,ms,0.0,kb,0.0,kb,831528.0,kb,3326112.0,kb,354,23639428
bn2,16.452173999999975,ms,49.12031699999997,ms,21.169823942184447,ms,59.150784421920775,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,23639428
conv3,21.208653000000012,ms,76.57163199999985,ms,81.01116897296906,ms,315.08294514369965,ms,0.0,kb,0.0,kb,3324944.0,kb,13301546.0,kb,354,23639428
bn3,16.482654000000004,ms,49.2516349999999,ms,40.9665597820282,ms,118.4337606639862,ms,0.0,kb,0.0,kb,3325040.0,kb,16625200.0,kb,354,23639428
relu,22.961920999999975,ms,32.09884399999998,ms,56.01286412620544,ms,102.3784328546524,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
0,21.116594999999936,ms,76.32681500000001,ms,142.6462727279663,ms,561.5711039400101,ms,0.0,kb,0.0,kb,3325040.0,kb,13301930.0,kb,354,23639428
1,16.36019699999999,ms,48.752396999999945,ms,40.838879455566406,ms,118.08352053833008,ms,0.0,kb,0.0,kb,3325040.0,kb,16625200.0,kb,354,23639428
conv1,21.423118,ms,77.42695400000001,ms,95.67318431377412,ms,373.63580765628814,ms,0.0,kb,0.0,kb,831040.0,kb,3325925.0,kb,354,23639428
bn1,16.46984199999998,ms,49.12921700000013,ms,20.968671911239625,ms,58.51216033172607,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,23639428
conv2,21.495544000000038,ms,77.67582300000011,ms,133.5313924856186,ms,525.0031036586762,ms,0.0,kb,0.0,kb,831040.0,kb,3913216.0,kb,354,23639428
bn2,16.23994800000003,ms,48.48443499999993,ms,21.451295948028566,ms,59.96707213973999,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,23639428
conv3,21.112027000000026,ms,76.22105999999991,ms,80.95382483005524,ms,314.8918726329803,ms,0.0,kb,0.0,kb,3325040.0,kb,13301930.0,kb,354,23639428
bn3,16.586614000000008,ms,49.68582800000002,ms,41.00060787010193,ms,118.54435245323181,ms,0.0,kb,0.0,kb,3325040.0,kb,16625200.0,kb,354,23639428
relu,23.460822000000046,ms,32.69528099999997,ms,41.05779216337204,ms,72.16979220056534,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
conv1,21.279128999999983,ms,76.76197200000011,ms,95.29379313659668,ms,372.09894338989255,ms,0.0,kb,0.0,kb,831040.0,kb,3325925.0,kb,354,23639428
bn1,16.44985299999997,ms,49.18027900000009,ms,20.93686395263672,ms,58.40204856681824,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,23639428
conv2,21.512903000000012,ms,77.66193799999998,ms,133.4828482275009,ms,524.9382074241638,ms,0.0,kb,0.0,kb,831040.0,kb,3913216.0,kb,354,23639428
