MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,5540.810070000011,ms,22161.956687999947,ms,0.0,ms,0,ms,26593280.0,kb,132966400.0,kb,0.0,kb,0.0,kb,354,143683628
1,1715.6677910000003,ms,3424.7494170000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
2,28813.11095300005,ms,115252.92572800002,ms,0.0,ms,0,ms,26593280.0,kb,132966400.0,kb,0.0,kb,0.0,kb,354,143683628
3,1712.253991999999,ms,3418.143039999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
4,5108.6874659999985,ms,10233.458713000007,ms,0.0,ms,0,ms,19944960.0,kb,59834880.0,kb,0.0,kb,0.0,kb,354,143683628
5,13198.533329000014,ms,52794.488092000065,ms,0.0,ms,0,ms,13296640.0,kb,66483200.0,kb,0.0,kb,0.0,kb,354,143683628
6,811.0305629999997,ms,1615.766477999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
7,25186.28900799999,ms,100755.20997300002,ms,0.0,ms,0,ms,13296640.0,kb,66483200.0,kb,0.0,kb,0.0,kb,354,143683628
8,810.1541290000005,ms,1614.0501639999993,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
9,2245.6181940000038,ms,4504.519469999998,ms,0.0,ms,0,ms,9972480.0,kb,29917440.0,kb,0.0,kb,0.0,kb,354,143683628
10,11358.445996000011,ms,45440.49530500002,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,143683628
11,379.46311700000035,ms,753.1218840000006,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
