MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,44.239012999999936,ms,165.9062950000004,ms,271.03398414230344,ms,1071.8151358499526,ms,0.0,kb,0.0,kb,26773504.0,kb,107198269.0,kb,354,143683628
1,9.502121999999996,ms,13.490196000000003,ms,152.3143357181549,ms,300.9780797395706,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
2,36.771582999999985,ms,138.34825199999966,ms,1028.1774998188018,ms,4102.766041291236,ms,0.0,kb,0.0,kb,26683904.0,kb,106877393.0,kb,354,143683628
3,8.496628,ms,11.958677999999995,ms,151.5261435751915,ms,299.85251133298874,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
4,15.466563999999991,ms,33.01423599999997,ms,139.46463955307007,ms,277.3134713382721,ms,0.0,kb,0.0,kb,19944960.0,kb,59834880.0,kb,354,143683628
5,33.772117999999914,ms,126.66067899999989,ms,513.7675821638107,ms,2045.502590959549,ms,0.0,kb,0.0,kb,13296640.0,kb,53469937.0,kb,354,143683628
6,8.300081999999996,ms,11.667771999999998,ms,78.74294420814515,ms,154.32764811611176,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
7,33.02245100000006,ms,123.47894399999977,ms,829.4078429956436,ms,3308.082878833771,ms,0.0,kb,0.0,kb,13296640.0,kb,53775616.0,kb,354,143683628
8,8.790384999999995,ms,12.318215000000004,ms,79.07184015607834,ms,154.8493125910759,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
9,13.563004999999961,ms,28.78104300000002,ms,74.80928032779694,ms,148.18476836490632,ms,0.0,kb,0.0,kb,9972480.0,kb,29917440.0,kb,354,143683628
10,31.989706999999992,ms,119.8755449999999,ms,468.2653104200363,ms,1863.7296625471115,ms,0.0,kb,0.0,kb,6648320.0,kb,27738797.0,kb,354,143683628
11,8.056009000000001,ms,11.288184000000008,ms,42.21772807788849,ms,81.34883204555511,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
12,31.662145000000045,ms,118.40578700000019,ms,823.0780779867172,ms,3283.0523316316603,ms,0.0,kb,0.0,kb,6648320.0,kb,28904369.0,kb,354,143683628
13,8.053775,ms,11.364573999999998,ms,42.230431854724884,ms,81.4348796954155,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
14,31.543623,ms,117.93437700000008,ms,817.733026295662,ms,3261.7195803728105,ms,0.0,kb,0.0,kb,6648320.0,kb,28904369.0,kb,354,143683628
15,8.082101000000012,ms,11.360222999999985,ms,42.22563181209564,ms,81.4318397140503,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
16,31.640708999999994,ms,118.34749099999956,ms,816.4120333080292,ms,3256.482759654999,ms,0.0,kb,0.0,kb,6648320.0,kb,28904369.0,kb,354,143683628
17,8.031035999999999,ms,11.204449000000002,ms,42.30703979206085,ms,81.45059166145325,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
18,12.991926000000005,ms,27.49791000000001,ms,42.878911806106565,ms,84.39983944129943,ms,0.0,kb,0.0,kb,4986752.0,kb,14960256.0,kb,354,143683628
19,31.936358,ms,119.14293500000007,ms,491.8173130474091,ms,1957.8747186756134,ms,0.0,kb,0.0,kb,3324160.0,kb,17828548.0,kb,354,143683628
20,7.8274689999999945,ms,10.987843999999997,ms,23.841248054027556,ms,44.69308813619614,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
21,31.628720000000012,ms,118.15524500000006,ms,918.483200621605,ms,3664.73888018322,ms,0.0,kb,0.0,kb,3324160.0,kb,22720514.0,kb,354,143683628
22,7.945293999999998,ms,11.156184000000005,ms,23.898368181228637,ms,44.794176377296445,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
23,31.410406000000027,ms,117.22419799999977,ms,925.9170203495025,ms,3694.2849552278517,ms,0.0,kb,0.0,kb,3324160.0,kb,22720514.0,kb,354,143683628
24,7.9792289999999975,ms,11.235465000000003,ms,23.928416234493255,ms,44.826112463474274,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
25,31.337534999999928,ms,116.96954099999992,ms,934.8145934906006,ms,3730.084614923477,ms,0.0,kb,0.0,kb,3324160.0,kb,22720514.0,kb,354,143683628
26,7.906435999999997,ms,11.101962999999996,ms,23.845600266456604,ms,44.6940165605545,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
27,13.146225999999997,ms,27.802836000000042,ms,27.282304186820983,ms,53.176448290824894,ms,0.0,kb,0.0,kb,2797456.0,kb,8392368.0,kb,354,143683628
28,32.13202899999998,ms,119.72402399999997,ms,293.76240027427673,ms,1165.547710579872,ms,0.0,kb,0.0,kb,831040.0,kb,12748034.0,kb,354,143683628
29,8.145279999999996,ms,11.456712000000012,ms,8.022880041599274,ms,12.264608068943023,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
30,31.590448999999943,ms,117.58271000000003,ms,294.25011209964754,ms,1167.690973862648,ms,0.0,kb,0.0,kb,904256.0,kb,13040898.0,kb,354,143683628
31,7.890979999999999,ms,11.083072000000012,ms,7.811296053409577,ms,11.95219206762314,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
32,31.52751299999996,ms,117.47287400000012,ms,295.53167987632753,ms,1173.0133737649917,ms,0.0,kb,0.0,kb,831040.0,kb,12748034.0,kb,354,143683628
33,7.918265000000005,ms,11.095683000000001,ms,7.827712027549744,ms,11.948160002708436,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
34,31.90284900000001,ms,119.318427,ms,297.0250242204666,ms,1179.000895365715,ms,0.0,kb,0.0,kb,831040.0,kb,12748034.0,kb,354,143683628
35,7.878475000000003,ms,11.042141000000003,ms,7.786304023742676,ms,11.920064039230347,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
36,13.340362000000002,ms,28.36386900000001,ms,13.601056038856507,ms,25.838463916778565,ms,0.0,kb,0.0,kb,659992.0,kb,1979976.0,kb,354,143683628
avgpool,10.909035000000001,ms,22.06609599999996,ms,26.226335878372193,ms,50.95235190391541,ms,0.0,kb,0.0,kb,207760.0,kb,623280.0,kb,354,143683628
0,27.348326999999966,ms,56.8103230000002,ms,689.1752654752731,ms,1373.259232682228,ms,0.0,kb,0.0,kb,33920.0,kb,101760.0,kb,354,143683628
1,8.037987,ms,11.350233999999993,ms,8.009888000965118,ms,11.513760014057159,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
2,1.1419430000000004,ms,1.1419430000000004,ms,1.0063999786376954,ms,1.0063999786376954,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
3,20.163389999999943,ms,42.80049400000005,ms,97.61904027557372,ms,190.53654406547545,ms,0.0,kb,0.0,kb,33920.0,kb,101760.0,kb,354,143683628
4,7.915502999999998,ms,11.147030999999986,ms,7.858624029636383,ms,11.30416002702713,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
5,1.0284149999999994,ms,1.0284149999999994,ms,0.8888960313796997,ms,0.8888960313796997,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
6,21.318952000000035,ms,44.99758900000005,ms,41.60995187759399,ms,78.49110365104676,ms,0.0,kb,0.0,kb,8303.5,kb,24910.5,kb,354,143683628
