MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,1603.2551859999935,ms,6409.670457000002,ms,0.0,ms,0,ms,1603250.0,kb,8016250.0,kb,0.0,kb,0.0,kb,354,44421956
1,80.75574099999997,ms,156.767022,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
2,486.6611839999998,ms,976.3296319999998,ms,0.0,ms,0,ms,1159110.0,kb,3477330.0,kb,0.0,kb,0.0,kb,354,44421956
3,2490.071183,ms,9960.676889000002,ms,0.0,ms,0,ms,1159110.0,kb,5795550.0,kb,0.0,kb,0.0,kb,354,44421956
4,52.36074100000001,ms,101.12822399999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
5,309.1499579999997,ms,620.3093289999995,ms,0.0,ms,0,ms,806130.0,kb,2418390.0,kb,0.0,kb,0.0,kb,354,44421956
6,1524.7636219999993,ms,6099.855346999994,ms,0.0,ms,0,ms,537420.0,kb,2687100.0,kb,0.0,kb,0.0,kb,354,44421956
7,16.104021999999997,ms,28.949669999999973,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
8,1985.9966019999968,ms,7944.803199000003,ms,0.0,ms,0,ms,358280.0,kb,1791400.0,kb,0.0,kb,0.0,kb,354,44421956
9,11.43248200000001,ms,19.380491000000003,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
10,1336.7735420000013,ms,5346.667326999999,ms,0.0,ms,0,ms,358280.0,kb,1791400.0,kb,0.0,kb,0.0,kb,354,44421956
11,8.806510999999992,ms,14.695704999999995,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
12,88.43273100000013,ms,179.44516299999952,ms,0.0,ms,0,ms,228960.0,kb,686880.0,kb,0.0,kb,0.0,kb,354,44421956
avgpool,34.67584100000003,ms,69.78182100000008,ms,0.0,ms,0,ms,76320.0,kb,228960.0,kb,0.0,kb,0.0,kb,354,44421956
0,0.4261980000000002,ms,0.4261980000000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
1,4546.544775999994,ms,9099.33925500003,ms,0.0,ms,0,ms,33920.0,kb,67840.0,kb,0.0,kb,0.0,kb,354,44421956
2,10.858125999999993,ms,16.163205000000026,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
3,0.7154269999999999,ms,0.7154269999999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
4,294.7892360000006,ms,596.0982360000019,ms,0.0,ms,0,ms,8480.0,kb,16960.0,kb,0.0,kb,0.0,kb,354,44421956
5,7.778005999999991,ms,10.855520999999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
6,19.59222899999998,ms,44.88559699999986,ms,0.0,ms,0,ms,33.125,kb,66.25,kb,0.0,kb,0.0,kb,354,44421956
