MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,50.97937200000006,ms,190.94918999999948,ms,132.1685124168396,ms,514.357984249115,ms,0.0,kb,0.0,kb,1808568.5,kb,7240646.0,kb,354,44421956
1,10.407843000000003,ms,14.711784999999997,ms,16.382880098342895,ms,28.74531200027466,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
2,16.86703499999999,ms,35.417923000000016,ms,26.1529278755188,ms,50.41100801849365,ms,0.0,kb,0.0,kb,1310260.5,kb,3930781.5,kb,354,44421956
3,40.212351000000105,ms,150.31028599999996,ms,214.03049463272094,ms,844.1704646110535,ms,0.0,kb,0.0,kb,1231324.5,kb,16492406.5,kb,354,44421956
4,9.550207999999996,ms,13.33112899999998,ms,9.965312076091767,ms,16.133088146686553,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
5,16.017131000000067,ms,34.06880399999998,ms,21.734944151878356,ms,41.748096455574036,ms,0.0,kb,0.0,kb,816067.5,kb,2448202.5,kb,354,44421956
6,39.97382199999999,ms,149.1093229999998,ms,146.80358401584624,ms,575.6291530666351,ms,0.0,kb,0.0,kb,693683.5,kb,5324065.0,kb,354,44421956
7,9.500281,ms,13.250396,ms,9.396128071308135,ms,14.312768039226532,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
8,38.042458000000096,ms,141.37203500000035,ms,193.254175825119,ms,761.2948461523056,ms,0.0,kb,0.0,kb,358280.0,kb,4831874.0,kb,354,44421956
9,9.479057000000003,ms,13.207157000000006,ms,9.405248075008393,ms,13.952544150829315,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
10,37.71810600000004,ms,139.99357800000038,ms,139.7521280860901,ms,547.4095331573486,ms,0.0,kb,0.0,kb,358280.0,kb,3699074.0,kb,354,44421956
11,9.46198800000001,ms,13.186345,ms,9.382848097324372,ms,13.914144171237945,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
12,15.627953999999999,ms,33.097207000000054,ms,15.685440105438232,ms,29.68361615371704,ms,0.0,kb,0.0,kb,228960.0,kb,686880.0,kb,354,44421956
avgpool,12.788122999999997,ms,25.694937999999976,ms,24.114560017585756,ms,46.419039916038514,ms,0.0,kb,0.0,kb,76320.0,kb,228960.0,kb,354,44421956
0,1.2497910000000014,ms,1.2497910000000014,ms,1.0973440103530885,ms,1.0973440103530885,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
1,28.992326999999992,ms,60.699537999999976,ms,332.95292771148684,ms,659.8043202724457,ms,0.0,kb,0.0,kb,33920.0,kb,101760.0,kb,354,44421956
2,9.549005,ms,13.335830999999988,ms,9.505984163284301,ms,13.49232017326355,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
3,1.238879,ms,1.238879,ms,1.1069119958877562,ms,1.1069119958877562,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
4,25.10231499999994,ms,52.97395399999997,ms,58.842176239967344,ms,111.99641684436799,ms,0.0,kb,0.0,kb,8480.0,kb,25440.0,kb,354,44421956
5,9.624412999999995,ms,13.37134400000001,ms,9.607104037761689,ms,13.580000017642975,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,44421956
6,24.375574999999962,ms,51.507564000000066,ms,25.18079976272583,ms,44.85180772590637,ms,0.0,kb,0.0,kb,177.0,kb,531.0,kb,354,44421956
