MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv0,1907.4560649999992,ms,7626.531731999993,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,6957956
norm0,676.3014669999997,ms,2034.3367679999947,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,6957956
relu0,348.8912540000003,ms,693.7120370000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
pool0,2291.1317879999992,ms,4586.768413000004,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,174.17642699999982,ms,527.2788940000005,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,27.43990300000002,ms,51.61264299999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,357.70321899999806,ms,2392.7272810000045,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,353.34604900000016,ms,1066.2022649999974,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,157.15609000000012,ms,310.76957199999987,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1633.0981919999995,ms,6529.666653000007,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,260.5654140000001,ms,785.596570999999,ms,0.0,ms,0,ms,2493120.0,kb,12466131.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,75.45250399999996,ms,147.01436100000015,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,474.1568169999994,ms,3159.8359100000016,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,344.97829499999966,ms,1042.1965469999993,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,169.001135,ms,334.2718390000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1635.3160670000016,ms,6538.137990999988,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,329.1452770000001,ms,990.5324489999973,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,167.66648400000028,ms,331.2368540000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,630.2317019999987,ms,4205.952307000008,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,343.01076300000005,ms,1037.7516600000006,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,173.22732000000002,ms,342.5842750000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1639.7682069999987,ms,6555.589659000005,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,443.64835500000146,ms,1335.569824000002,ms,0.0,ms,0,ms,4155200.0,kb,20776885.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,217.62802599999986,ms,430.8472580000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,777.9457009999988,ms,5199.200839000005,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,346.51395200000013,ms,1050.3352990000003,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,172.51206899999997,ms,341.0760260000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1645.8736499999984,ms,6579.994052000017,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,541.0958420000006,ms,1628.4602839999945,ms,0.0,ms,0,ms,4986240.0,kb,24932262.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,273.723067,ms,543.3442179999989,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,954.0019190000007,ms,6348.617582000007,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,351.4920929999993,ms,1066.3918479999993,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,170.77350900000013,ms,337.5431180000005,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1652.4350139999997,ms,6606.164358999992,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,634.8286919999993,ms,1909.507926,ms,0.0,ms,0,ms,5817280.0,kb,29087639.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,331.50996900000024,ms,658.9481530000005,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,1101.906907999993,ms,7350.809145000015,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,353.62129299999987,ms,1073.9642670000005,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,168.81688900000012,ms,333.58629299999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,1655.4097409999977,ms,6617.90189100001,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354,6957956
norm,757.2767289999995,ms,2276.4841210000027,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,6957956
relu,385.4078999999996,ms,766.7227289999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv,1251.598654,ms,8355.296680000003,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354,6957956
pool,499.02284900000063,ms,505.0230570000009,ms,0.0,ms,0,ms,831040.0,kb,1662080.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,73.421184,ms,224.92197899999996,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,14.942435999999987,ms,26.289118000000023,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,171.96890499999992,ms,1121.844028000002,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,78.51071600000003,ms,239.9529400000006,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,18.883244000000005,ms,34.819741000000015,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,429.14736000000073,ms,1716.4711970000003,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,103.36453900000036,ms,313.10175599999957,ms,0.0,ms,0,ms,1038800.0,kb,5194885.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,19.588112000000006,ms,36.22949399999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,205.95625900000056,ms,1354.5768549999996,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,77.62168599999991,ms,237.3347869999995,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,22.936758999999988,ms,43.08936199999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,425.75195299999945,ms,1702.1388749999992,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,125.77276200000011,ms,380.7203260000003,ms,0.0,ms,0,ms,1246560.0,kb,6233862.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,22.011421999999992,ms,41.01603300000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,242.69492600000123,ms,1599.5869259999988,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,77.81441700000003,ms,238.1139229999997,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,24.377691000000016,ms,45.911228999999985,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,426.25953399999946,ms,1703.534665999996,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,148.11974399999977,ms,448.23869800000074,ms,0.0,ms,0,ms,1454320.0,kb,7272839.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,25.316654000000007,ms,47.54041599999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,280.8296419999986,ms,1854.5346130000037,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,79.21675500000022,ms,242.60784199999998,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,26.90751199999998,ms,50.917854,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,427.53156500000034,ms,1708.295247999999,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,172.58203200000008,ms,522.4162430000001,ms,0.0,ms,0,ms,1662080.0,kb,8311816.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,29.819276999999957,ms,56.46888599999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,320.227882999998,ms,2117.3271360000053,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,80.52514599999975,ms,246.68088899999964,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,29.090977000000052,ms,54.94741500000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,428.5597199999998,ms,1712.094583999998,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,194.77664700000048,ms,588.8328330000002,ms,0.0,ms,0,ms,1869840.0,kb,9350793.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,36.695455000000045,ms,70.20610799999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,346.9836309999979,ms,2296.7501929999976,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,76.662165,ms,235.0616150000006,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,41.685296999999935,ms,80.42531299999995,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,430.3959120000002,ms,1719.296754999999,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,219.50980000000024,ms,662.8385049999983,ms,0.0,ms,0,ms,2077600.0,kb,10389770.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,47.484290000000065,ms,91.67362800000008,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,389.0193269999995,ms,2578.5887419999913,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,78.05531600000018,ms,239.56994100000017,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,41.811422,ms,80.56442900000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,430.4131130000001,ms,1719.1294609999989,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,243.24709399999998,ms,734.0124449999993,ms,0.0,ms,0,ms,2285360.0,kb,11428747.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,61.572926000000045,ms,119.83526199999993,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,425.68525499999964,ms,2822.0917060000143,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,79.30360300000004,ms,243.544055,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,41.60890100000004,ms,80.10988499999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,429.7069859999999,ms,1716.1789239999991,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,266.6107560000002,ms,803.8828579999999,ms,0.0,ms,0,ms,2493120.0,kb,12467724.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,77.48924600000001,ms,151.63126400000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,465.5841780000018,ms,3089.352056000005,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,80.2374550000001,ms,246.74278799999993,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,41.461151999999984,ms,79.47679100000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,429.3029140000001,ms,1714.4023630000004,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,289.0367090000009,ms,871.4405300000008,ms,0.0,ms,0,ms,2700880.0,kb,13506701.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,94.48178399999996,ms,185.55341099999995,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,505.23446899999965,ms,3355.1373909999866,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,78.15274000000007,ms,240.72069799999989,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,41.29370600000005,ms,79.34858700000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,429.89609099999984,ms,1716.605130000003,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,312.90323299999966,ms,942.7345139999982,ms,0.0,ms,0,ms,2908640.0,kb,14545678.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,111.8604199999999,ms,220.30705999999995,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,539.939768000001,ms,3588.4568010000194,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,78.21000900000007,ms,241.1430049999998,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,40.72104700000004,ms,78.17570599999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,428.9575850000002,ms,1712.7206769999991,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,337.12528199999934,ms,1015.5878960000016,ms,0.0,ms,0,ms,3116400.0,kb,15584655.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,130.07586500000005,ms,256.7289850000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,576.4612220000022,ms,3835.2627529999995,ms,0.0,ms,0,ms,831040.0,kb,5817280.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,78.63265900000015,ms,242.6910629999999,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,40.491333000000004,ms,77.68275100000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,427.4299460000009,ms,1706.5752830000015,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354,6957956
norm,369.2085570000004,ms,1110.9769560000004,ms,0.0,ms,0,ms,3324160.0,kb,16623632.0,kb,0.0,kb,0.0,kb,354,6957956
relu,146.17006300000008,ms,288.8317470000005,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv,1184.6900300000038,ms,7894.674579999988,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,6957956
pool,256.99809,ms,261.72967799999975,ms,0.0,ms,0,ms,415520.0,kb,831040.0,kb,0.0,kb,0.0,kb,354,6957956
norm1,46.53177100000006,ms,143.71982299999982,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354,6957956
relu1,10.569173000000006,ms,17.380963999999977,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,104.12632799999932,ms,670.1897839999992,ms,0.0,ms,0,ms,207760.0,kb,1454320.0,kb,0.0,kb,0.0,kb,354,6957956
norm2,25.45191099999998,ms,79.1204949999997,ms,0.0,ms,0,ms,207760.0,kb,1039508.0,kb,0.0,kb,0.0,kb,354,6957956
relu2,8.781844999999999,ms,15.145218000000025,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,148.20387900000011,ms,593.1112819999997,ms,0.0,ms,0,ms,51940.0,kb,259700.0,kb,0.0,kb,0.0,kb,354,6957956
