MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv0,40.36027100000007,ms,147.75930099999982,ms,174.19558336734772,ms,682.829183377266,ms,0.0,kb,0.0,kb,6649251.0,kb,26623200.0,kb,354,6957956
norm0,22.874599999999976,ms,67.6713699999999,ms,62.45113603401184,ms,181.42105523490906,ms,0.0,kb,0.0,kb,6649031.0,kb,33245155.0,kb,354,6957956
relu0,11.22351299999998,ms,15.812428999999998,ms,43.94982352256775,ms,83.52963220787048,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
pool0,18.09322099999998,ms,37.95282200000002,ms,58.779871711730955,ms,115.33084740638733,ms,0.0,kb,0.0,kb,4986370.5,kb,14959111.5,kb,354,6957956
norm1,19.948863000000035,ms,58.69434499999991,ms,29.106687688827513,ms,82.0711036567688,ms,0.0,kb,0.0,kb,1663152.0,kb,8315760.0,kb,354,6957956
relu1,9.801932999999998,ms,13.559844000000016,ms,16.171424023628234,ms,28.380959834098817,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,26.972749999999948,ms,96.74414900000015,ms,59.059263545036316,ms,224.95801613903046,ms,0.0,kb,0.0,kb,3324258.0,kb,13303581.0,kb,354,6957956
norm2,20.232513999999984,ms,59.9125369999999,ms,40.03049564170838,ms,114.82444838714599,ms,0.0,kb,0.0,kb,3324258.0,kb,16621290.0,kb,354,6957956
relu2,9.609924999999995,ms,13.252025000000012,ms,24.898815865516664,ms,45.8874240732193,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,30.079858999999967,ms,109.51459600000005,ms,123.06707158374786,ms,481.2560945825577,ms,0.0,kb,0.0,kb,842516.0,kb,3511841.0,kb,354,6957956
norm1,19.579187999999995,ms,57.77170899999989,ms,34.18963209152221,ms,97.21417636108399,ms,0.0,kb,0.0,kb,2503394.0,kb,12516970.0,kb,354,6957956
relu1,9.604112000000017,ms,13.228455000000011,ms,20.480000270843504,ms,37.0400320224762,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,25.85267800000003,ms,92.4413069999999,ms,71.27580846595764,ms,274.1519358272553,ms,0.0,kb,0.0,kb,3327198.0,kb,13315341.0,kb,354,6957956
norm2,20.047356999999998,ms,59.43348700000002,ms,39.81673595237732,ms,114.23014449882507,ms,0.0,kb,0.0,kb,3324499.0,kb,16622495.0,kb,354,6957956
relu2,9.497680000000003,ms,13.09928999999999,ms,24.77603171634674,ms,45.720192174911496,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,26.567750000000014,ms,95.46515299999983,ms,119.86640051937103,ms,468.64748892498017,ms,0.0,kb,0.0,kb,851415.0,kb,3547437.0,kb,354,6957956
norm1,19.416052000000008,ms,57.12181399999997,ms,39.2850565776825,ms,112.56547216415406,ms,0.0,kb,0.0,kb,3325822.0,kb,16629110.0,kb,354,6957956
relu1,9.506554000000026,ms,13.107685000000016,ms,24.794911870956422,ms,45.74166434955597,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,25.627601999999996,ms,91.69142900000011,ms,84.18332762527466,ms,325.94627093315125,ms,0.0,kb,0.0,kb,3324940.0,kb,13306309.0,kb,354,6957956
norm2,19.86417899999998,ms,58.69540400000012,ms,39.64646425819397,ms,113.7193608493805,ms,0.0,kb,0.0,kb,3326410.0,kb,16632050.0,kb,354,6957956
relu2,9.470869000000013,ms,13.073698,ms,24.755711721420287,ms,45.70019188976288,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,26.081964999999936,ms,93.51158799999997,ms,119.48252863311768,ms,467.1544964132309,ms,0.0,kb,0.0,kb,849823.0,kb,3541069.0,kb,354,6957956
norm1,19.573888000000046,ms,57.932856,ms,44.83075203132629,ms,129.27673669433594,ms,0.0,kb,0.0,kb,4157234.0,kb,20786170.0,kb,354,6957956
relu1,9.558933999999988,ms,13.132109000000003,ms,29.363680042266846,ms,54.7629122877121,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,25.10044899999999,ms,90.07164299999995,ms,96.91052748966217,ms,377.1542397079468,ms,0.0,kb,0.0,kb,3329591.0,kb,13324913.0,kb,354,6957956
norm2,16.591124000000022,ms,49.493142999999876,ms,37.35497602081299,ms,107.58070431518554,ms,0.0,kb,0.0,kb,3333995.0,kb,16669975.0,kb,354,6957956
relu2,7.948450999999999,ms,11.140119999999998,ms,24.006208070755005,ms,44.74259252166748,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,21.652473000000015,ms,78.28000699999993,ms,116.52063912105561,ms,456.98998464488983,ms,0.0,kb,0.0,kb,854952.0,kb,3561585.0,kb,354,6957956
norm1,15.870492000000015,ms,47.54254199999992,ms,47.46012858581543,ms,138.08755388259888,ms,0.0,kb,0.0,kb,5027490.0,kb,25137450.0,kb,354,6957956
relu1,7.954974999999999,ms,11.093685000000002,ms,32.92176015377045,ms,62.51040042114258,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,21.16184399999998,ms,76.44881999999994,ms,107.27183989429474,ms,420.0907822732925,ms,0.0,kb,0.0,kb,3336657.5,kb,13353179.0,kb,354,6957956
norm2,16.516720999999993,ms,48.99800499999999,ms,37.22051200962067,ms,107.20595236873626,ms,0.0,kb,0.0,kb,3357237.5,kb,16786187.5,kb,354,6957956
relu2,7.857158999999995,ms,11.002037999999983,ms,23.93833612251282,ms,44.63004852104187,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,21.39457200000004,ms,77.47071800000015,ms,116.43980756187439,ms,456.7456334209442,ms,0.0,kb,0.0,kb,852634.0,kb,3552313.0,kb,354,6957956
norm1,16.102139000000008,ms,48.44908499999995,ms,53.01334375762939,ms,154.75775937080383,ms,0.0,kb,0.0,kb,5820465.0,kb,29102325.0,kb,354,6957956
relu1,7.879183000000007,ms,11.01621700000002,ms,37.283039821624754,ms,71.25718386936188,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv1,21.302949000000044,ms,76.81878399999997,ms,120.88131282615662,ms,474.41027327632906,ms,0.0,kb,0.0,kb,3365322.5,kb,13467839.0,kb,354,6957956
norm2,16.268478999999985,ms,48.32281599999998,ms,37.095136037826535,ms,106.8304003868103,ms,0.0,kb,0.0,kb,3405078.0,kb,17025390.0,kb,354,6957956
relu2,7.915632000000001,ms,11.084505000000012,ms,24.01350410604477,ms,44.718304506778715,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv2,21.834607999999957,ms,79.17089799999985,ms,116.80035120010376,ms,458.16160032463074,ms,0.0,kb,0.0,kb,854141.0,kb,3558341.0,kb,354,6957956
norm,16.191964000000013,ms,48.40706399999996,ms,58.28543995285034,ms,170.49743910217285,ms,0.0,kb,0.0,kb,6649104.0,kb,33245520.0,kb,354,6957956
relu,7.874869999999997,ms,11.002948000000007,ms,41.71926348018646,ms,80.14675155067444,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,6957956
conv,21.620077000000034,ms,78.3181469999999,ms,134.64156860542298,ms,529.4791368284225,ms,0.0,kb,0.0,kb,3424021.5,kb,13702635.0,kb,354,6957956
pool,9.618305,ms,11.639011000000004,ms,34.61049602746964,ms,34.61049602746964,ms,0.0,kb,0.0,kb,841610.0,kb,1683220.0,kb,354,6957956
norm1,16.276421999999965,ms,48.44325200000003,ms,21.140480194091797,ms,58.928672622680665,ms,0.0,kb,0.0,kb,850538.0,kb,4252690.0,kb,354,6957956
