MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv,1812.3302940000015,ms,7246.833456999994,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,5604004
bn,673.3364520000005,ms,2026.6271760000027,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,5604004
maxpool1,1977.868215999995,ms,3962.5987580000024,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,5604004
conv,262.5220370000002,ms,1790.3511449999896,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,5604004
bn,169.283171,ms,515.7814709999993,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,5604004
conv,3947.4753309999974,ms,15791.640635999987,ms,0.0,ms,0,ms,4986240.0,kb,24931200.0,kb,0.0,kb,0.0,kb,354,5604004
bn,519.5571890000009,ms,1567.4711519999998,ms,0.0,ms,0,ms,4986240.0,kb,24932262.0,kb,0.0,kb,0.0,kb,354,5604004
maxpool2,1521.008407000003,ms,3049.3806609999947,ms,0.0,ms,0,ms,3739680.0,kb,11219040.0,kb,0.0,kb,0.0,kb,354,5604004
conv,141.58581500000014,ms,940.1528810000036,ms,0.0,ms,0,ms,415520.0,kb,2908640.0,kb,0.0,kb,0.0,kb,354,5604004
bn,45.35879000000003,ms,143.37088599999996,ms,0.0,ms,0,ms,415520.0,kb,2077954.0,kb,0.0,kb,0.0,kb,354,5604004
conv,181.1061670000006,ms,1234.8718929999914,ms,0.0,ms,0,ms,623280.0,kb,4362960.0,kb,0.0,kb,0.0,kb,354,5604004
