MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv,31.196214,ms,114.35940099999993,ms,166.48960014629364,ms,654.5540164556503,ms,0.0,kb,0.0,kb,6701042.0,kb,26830364.0,kb,354,5604004
bn,19.498971999999995,ms,57.39835599999985,ms,59.84636814880371,ms,174.13136052131654,ms,0.0,kb,0.0,kb,6764546.0,kb,33822730.0,kb,354,5604004
maxpool1,14.667718999999972,ms,30.628508999999973,ms,61.3572478094101,ms,120.80326394844055,ms,0.0,kb,0.0,kb,5014214.5,kb,15042643.5,kb,354,5604004
conv,23.333130000000033,ms,83.98683500000006,ms,41.836224219322204,ms,157.33859136390686,ms,0.0,kb,0.0,kb,1662914.5,kb,6658207.0,kb,354,5604004
bn,17.666128999999934,ms,52.679511999999924,ms,27.417344232559206,ms,77.51433656120301,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354,5604004
conv,24.847366999999938,ms,89.93089799999991,ms,324.70255873298646,ms,1289.0120650835038,ms,0.0,kb,0.0,kb,5078037.0,kb,20762999.5,kb,354,5604004
bn,17.254259999999967,ms,51.2182099999999,ms,48.180767768859866,ms,139.92534404182433,ms,0.0,kb,0.0,kb,5076513.0,kb,25382565.0,kb,354,5604004
maxpool2,13.39874600000003,ms,28.380716000000024,ms,48.381023869514465,ms,95.08540820789337,ms,0.0,kb,0.0,kb,3944943.0,kb,11834829.0,kb,354,5604004
conv,21.38561800000002,ms,75.6645989999999,ms,43.13740812206268,ms,162.97062467861176,ms,0.0,kb,0.0,kb,447843.5,kb,1791374.0,kb,354,5604004
bn,16.99270000000001,ms,50.336409999999894,ms,17.64313604736328,ms,48.27222411155701,ms,0.0,kb,0.0,kb,472775.5,kb,2363877.5,kb,354,5604004
conv,21.94111900000003,ms,78.72824299999998,ms,50.85033571815491,ms,193.79014527416228,ms,0.0,kb,0.0,kb,772077.5,kb,3090075.0,kb,354,5604004
bn,16.99990499999997,ms,50.51998400000004,ms,18.484640171051026,ms,50.87424008178711,ms,0.0,kb,0.0,kb,810722.5,kb,4053612.5,kb,354,5604004
conv,22.63283299999995,ms,81.64756900000017,ms,108.91180733966827,ms,426.2196147584915,ms,0.0,kb,0.0,kb,1000325.0,kb,4532119.5,kb,354,5604004
bn,17.00166500000002,ms,50.53994699999997,ms,21.79833550262451,ms,60.825215312957766,ms,0.0,kb,0.0,kb,1099262.0,kb,5496310.0,kb,354,5604004
conv,19.49359599999998,ms,68.273882,ms,31.710175980567932,ms,117.42000058269501,ms,0.0,kb,0.0,kb,103880.0,kb,415520.0,kb,354,5604004
bn,16.86820799999998,ms,50.172124000000046,ms,16.67792002296448,ms,44.963999866485594,ms,0.0,kb,0.0,kb,103880.0,kb,519400.0,kb,354,5604004
conv,22.101319000000043,ms,79.77776400000008,ms,38.0676800365448,ms,142.93619228458405,ms,0.0,kb,0.0,kb,207760.0,kb,832855.5,kb,354,5604004
bn,16.849757999999998,ms,50.050626999999864,ms,16.668607934951783,ms,45.04863969993591,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
0,12.967494999999987,ms,27.402088999999993,ms,40.80822369289398,ms,80.07199946117402,ms,0.0,kb,0.0,kb,4059931.0,kb,12179793.0,kb,354,5604004
conv,19.323506000000023,ms,67.67932900000001,ms,31.777151889801026,ms,117.70835232925415,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
bn,17.030088000000003,ms,50.69549699999988,ms,16.836992082595824,ms,45.53315175628662,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,5604004
conv,21.556544000000034,ms,77.65930600000009,ms,59.768319320678714,ms,229.723455950737,ms,0.0,kb,0.0,kb,1036259.5,kb,4146803.0,kb,354,5604004
bn,17.307552000000005,ms,51.34217499999994,ms,21.025791816711425,ms,58.35088027191162,ms,0.0,kb,0.0,kb,1129197.0,kb,5645985.0,kb,354,5604004
conv,23.582303000000017,ms,84.93820100000009,ms,60.991743805885314,ms,234.16028811836242,ms,0.0,kb,0.0,kb,859575.0,kb,3440065.0,kb,354,5604004
bn,16.421275999999988,ms,49.02630699999989,ms,20.325216230392456,ms,56.5248644657135,ms,0.0,kb,0.0,kb,849486.0,kb,4247430.0,kb,354,5604004
conv,21.260955,ms,76.50768799999992,ms,172.52470304584503,ms,680.889310634613,ms,0.0,kb,0.0,kb,1259641.5,kb,5975813.0,kb,354,5604004
bn,16.361828999999975,ms,48.67573400000004,ms,24.546527797698975,ms,69.191391954422,ms,0.0,kb,0.0,kb,1251302.0,kb,6256510.0,kb,354,5604004
conv,18.61777499999997,ms,65.19693300000009,ms,35.5187839345932,ms,132.84457566928864,ms,0.0,kb,0.0,kb,207760.0,kb,831040.0,kb,354,5604004
