MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,34.53718299999993,ms,125.87253400000017,ms,53.93139190196991,ms,202.87427165603637,ms,0.0,kb,0.0,kb,1805797.5,kb,7249386.0,kb,354,1521956
1,20.86580200000004,ms,61.47426300000001,ms,31.713504192352296,ms,89.58851218795776,ms,0.0,kb,0.0,kb,1819230.0,kb,9096150.0,kb,354,1521956
2,20.788746999999997,ms,44.928101000000055,ms,33.93923186969757,ms,80.0815678358078,ms,0.0,kb,0.0,kb,1663644.0,kb,4990932.0,kb,354,1521956
0,19.743330999999998,ms,76.87499099999997,ms,30.02121605682373,ms,131.13753631782532,ms,0.0,kb,0.0,kb,533395.5,kb,2666977.5,kb,354,1521956
1,19.004860000000058,ms,56.687569999999965,ms,19.065183958053588,ms,51.934656147003174,ms,0.0,kb,0.0,kb,476743.5,kb,2383717.5,kb,354,1521956
2,10.184438000000007,ms,14.419018000000008,ms,10.092704035758972,ms,15.285920021057128,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,1521956
fc1,36.29538699999992,ms,133.31804100000005,ms,36.13068801212311,ms,130.67139201545714,ms,0.0,kb,0.0,kb,177.0,kb,708.0,kb,354,1521956
relu,9.043346999999997,ms,12.533284000000004,ms,8.994016017436982,ms,12.67488001871109,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,1521956
fc2,31.930170000000025,ms,116.54915700000012,ms,31.768992014884947,ms,113.78438414287567,ms,0.0,kb,0.0,kb,177.0,kb,708.0,kb,354,1521956
0,23.601256999999972,ms,85.39782699999996,ms,31.378208106994627,ms,115.83788800907135,ms,0.0,kb,0.0,kb,417874.0,kb,1678026.5,kb,354,1521956
1,18.247012000000012,ms,54.0801599999999,ms,18.281791929244996,ms,49.70560014343262,ms,0.0,kb,0.0,kb,481203.5,kb,2406017.5,kb,354,1521956
2,0.0,ms,0.0,ms,0,ms,0,ms,0,kb,0,kb,0,kb,0,kb,354,1521956
0,23.286301000000037,ms,83.63740000000014,ms,38.84905582618713,ms,145.447135720253,ms,0.0,kb,0.0,kb,1875408.5,kb,7508183.0,kb,354,1521956
1,18.22149299999999,ms,54.17494299999997,ms,28.55424005126953,ms,80.91212788963318,ms,0.0,kb,0.0,kb,1869840.0,kb,9349200.0,kb,354,1521956
2,8.785233999999997,ms,12.257283000000006,ms,16.695168043136597,ms,29.852063919067383,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,1521956
0,17.032173000000004,ms,65.64027999999996,ms,29.958208038330078,ms,132.74022429275513,ms,0.0,kb,0.0,kb,639397.5,kb,3196987.5,kb,354,1521956
