MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv1,171.06246999999996,ms,672.9357750000016,ms,305.9483201160431,ms,1211.8646665878296,ms,0.0,kb,0.0,kb,6648320.0,kb,26619476.0,kb,354,11178564
bn1,19.73020100000001,ms,59.15057599999992,ms,59.890752256393434,ms,174.50467213821412,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354,11178564
relu,9.691818999999997,ms,13.933322000000002,ms,43.09651224756241,ms,82.48371229696274,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,11178564
maxpool,15.127105000000045,ms,31.651576999999982,ms,56.1654718952179,ms,110.54630455589295,ms,0.0,kb,0.0,kb,4987608.0,kb,14962824.0,kb,354,11178564
conv1,25.417626999999992,ms,93.16619799999988,ms,130.78003180122374,ms,513.7206076231002,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354,11178564
bn1,17.348299000000022,ms,51.689659999999996,ms,26.96803211212158,ms,76.2941765422821,ms,0.0,kb,0.0,kb,1746016.0,kb,8730080.0,kb,354,11178564
relu,16.20375899999998,ms,22.66357400000001,ms,30.322111893177034,ms,54.019167862415316,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,22.61859,ms,81.76217700000001,ms,127.41724818134308,ms,500.39958381843564,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354,11178564
bn2,17.133557999999983,ms,51.30054899999998,ms,26.836832120895387,ms,75.96713602638245,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354,11178564
conv1,22.52351099999997,ms,81.48394399999998,ms,127.43779192829132,ms,500.47142319393157,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354,11178564
bn1,17.08858099999997,ms,50.907570999999955,ms,26.693952182769774,ms,75.56857621574402,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354,11178564
relu,16.018443999999995,ms,22.33998900000001,ms,30.158847986698152,ms,53.70486396932602,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,22.445087000000004,ms,81.036753,ms,127.29187156677246,ms,499.90934274101255,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354,11178564
bn2,17.037322000000014,ms,50.92459899999999,ms,26.709408113479615,ms,75.59574395179749,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354,11178564
conv1,22.06879799999999,ms,78.64395899999995,ms,138.71897570037842,ms,545.5478077754974,ms,0.0,kb,0.0,kb,963392.0,kb,3853568.0,kb,354,11178564
bn1,17.196637999999982,ms,51.563837000000056,ms,21.033312019348145,ms,58.57622427940369,ms,0.0,kb,0.0,kb,831792.0,kb,4158960.0,kb,354,11178564
relu,16.076657000000015,ms,22.43260400000002,ms,16.932672043800356,ms,27.25187212753296,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,22.524692999999992,ms,81.18435199999988,ms,133.82368076133727,ms,525.8977926597595,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354,11178564
bn2,16.999014000000003,ms,50.57231999999996,ms,21.85004793357849,ms,61.03206413650513,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,11178564
0,22.593336999999945,ms,81.78390800000001,ms,34.456032098770145,ms,128.61795151615144,ms,0.0,kb,0.0,kb,831040.0,kb,3325925.0,kb,354,11178564
1,16.988086000000006,ms,50.51996900000002,ms,19.899104276657106,ms,55.18438443565368,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,11178564
conv1,22.188601000000013,ms,80.00529900000004,ms,133.59270463085176,ms,525.0908166952133,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354,11178564
bn1,17.26581000000002,ms,51.863130999999946,ms,22.12163193511963,ms,61.81087995147705,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,11178564
relu,16.737989000000006,ms,23.370115999999985,ms,17.879520066261293,ms,28.62099208641052,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,21.91702900000001,ms,79.22488700000004,ms,133.44684833908082,ms,524.7267202577591,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354,11178564
bn2,16.40219600000001,ms,48.98139299999993,ms,21.43657600402832,ms,59.896032356262204,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354,11178564
conv1,19.89751099999999,ms,70.32117199999993,ms,168.08275209236146,ms,663.3672968835831,ms,0.0,kb,0.0,kb,416984.0,kb,1667936.0,kb,354,11178564
bn1,16.40895600000003,ms,48.78087199999996,ms,17.746816316604615,ms,48.81494414138794,ms,0.0,kb,0.0,kb,501408.0,kb,2507040.0,kb,354,11178564
relu,15.414194999999992,ms,21.50782300000001,ms,15.11414406299591,ms,23.34912007713318,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,21.94507399999998,ms,79.64634399999991,ms,131.3605441417694,ms,516.4251203737259,ms,0.0,kb,0.0,kb,587784.0,kb,4617090.0,kb,354,11178564
bn2,16.504838000000028,ms,49.09746399999996,ms,17.624736249923707,ms,48.42310405921936,ms,0.0,kb,0.0,kb,587784.0,kb,2938920.0,kb,354,11178564
0,21.471789000000076,ms,77.53508000000001,ms,35.55078380393982,ms,133.21759941196441,ms,0.0,kb,0.0,kb,587784.0,kb,2351665.5,kb,354,11178564
1,16.352357999999956,ms,48.5804039999999,ms,16.930879962921143,ms,46.44959973526001,ms,0.0,kb,0.0,kb,587680.0,kb,2938400.0,kb,354,11178564
conv1,21.977480000000003,ms,79.43951099999987,ms,131.54924837970734,ms,517.1221441307068,ms,0.0,kb,0.0,kb,587680.0,kb,4616674.0,kb,354,11178564
bn1,16.44033800000003,ms,48.84467199999984,ms,17.56806427001953,ms,48.18639999389649,ms,0.0,kb,0.0,kb,503904.0,kb,2519520.0,kb,354,11178564
relu,15.633809000000008,ms,21.81422899999997,ms,15.359264068603515,ms,23.663808075904846,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,21.739120999999955,ms,78.60233500000007,ms,130.66860784626007,ms,513.7318074007035,ms,0.0,kb,0.0,kb,535536.0,kb,4408098.0,kb,354,11178564
bn2,16.30306700000001,ms,48.43223700000003,ms,17.430016227722167,ms,47.893280042648314,ms,0.0,kb,0.0,kb,568120.0,kb,2840600.0,kb,354,11178564
conv1,22.64973199999998,ms,82.31764200000018,ms,172.7367678833008,ms,681.9515508995056,ms,0.0,kb,0.0,kb,207760.0,kb,1765078.0,kb,354,11178564
bn1,16.380037999999963,ms,48.83456299999999,ms,16.994847860336304,ms,46.644927711486815,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,11178564
relu,15.628894999999991,ms,21.78658599999997,ms,15.398304082870483,ms,22.897888127326965,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,22.263468999999972,ms,81.16560499999989,ms,251.15964670658113,ms,995.6648613882065,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354,11178564
bn2,16.72085800000003,ms,50.53148200000005,ms,17.534496202468873,ms,48.22326403236389,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,11178564
0,21.23558400000003,ms,76.80523799999995,ms,37.91974417495727,ms,142.79619217300416,ms,0.0,kb,0.0,kb,207760.0,kb,831217.0,kb,354,11178564
1,16.29928299999999,ms,48.69960800000002,ms,16.878400016784667,ms,46.33996779823303,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,11178564
conv1,21.724539000000007,ms,78.55319900000008,ms,251.19484694290162,ms,995.8387166900635,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354,11178564
bn1,17.048410999999994,ms,51.438339,ms,17.831680044174195,ms,49.03641585922241,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,11178564
relu,15.720978000000011,ms,21.882458000000014,ms,15.498400043487548,ms,22.961696063995362,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708,11178564
conv2,21.793422000000003,ms,78.88093300000011,ms,250.26319972133638,ms,992.1120620136261,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354,11178564
bn2,16.675346999999995,ms,49.81828799999999,ms,17.47817610359192,ms,48.020480016708376,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354,11178564
avgpool,12.473156000000014,ms,24.77841300000001,ms,15.083744097709657,ms,28.481632130622863,ms,0.0,kb,0.0,kb,4240.0,kb,12720.0,kb,354,11178564
fc,24.246249999999996,ms,50.66492399999997,ms,24.71660798358917,ms,44.07216002559662,ms,0.0,kb,0.0,kb,177.0,kb,531.0,kb,354,11178564
