MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
conv1,1971.7729590000004,ms,7884.2487470000115,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,682.0110960000019,ms,2053.6300030000007,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354,23639428
relu,347.5517049999995,ms,691.0582160000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,23639428
maxpool,2297.5711800000004,ms,4601.417884000006,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354,23639428
conv1,279.61101600000035,ms,1846.079463000003,ms,0.0,ms,0,ms,1662080.0,kb,11634560.0,kb,0.0,kb,0.0,kb,354,23639428
bn1,167.83066300000036,ms,510.4128989999999,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv2,1465.726587000001,ms,5861.993588999986,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354,23639428
bn2,116.84900799999991,ms,355.8605659999995,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354,23639428
conv3,702.3122770000004,ms,4694.4729939999925,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
bn3,690.773494,ms,2087.6227719999997,ms,0.0,ms,0,ms,6648320.0,kb,33243016.0,kb,0.0,kb,0.0,kb,354,23639428
relu,445.6151710000008,ms,881.1491889999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1062,23639428
0,711.9231939999962,ms,4755.933694000005,ms,0.0,ms,0,ms,6648320.0,kb,46538240.0,kb,0.0,kb,0.0,kb,354,23639428
