MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,2821.1307650000026,ms,11283.932225,ms,0.0,ms,0,ms,9445395.0,kb,47226975.0,kb,0.0,kb,0.0,kb,354,737476
1,562.7966600000008,ms,1119.428021,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
2,3229.807430999996,ms,6466.256001000007,ms,0.0,ms,0,ms,6954660.0,kb,20863980.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,210.02464099999952,ms,1423.6233819999977,ms,0.0,ms,0,ms,386370.0,kb,2704590.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,10.962720999999998,ms,18.75715000000001,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,186.02848399999974,ms,1274.4436770000004,ms,0.0,ms,0,ms,1545480.0,kb,10818360.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,25.250102999999974,ms,47.63024300000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,520.1395330000005,ms,2083.2587839999997,ms,0.0,ms,0,ms,1545480.0,kb,7727400.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,34.691645999999984,ms,66.00295599999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,254.17824800000068,ms,1740.7206470000092,ms,0.0,ms,0,ms,386370.0,kb,2704590.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,11.427146000000002,ms,19.449227000000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,184.78468599999997,ms,1263.832297999996,ms,0.0,ms,0,ms,1545480.0,kb,10818360.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,24.97432499999999,ms,47.00120399999991,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,522.1779750000001,ms,2090.5241350000033,ms,0.0,ms,0,ms,1545480.0,kb,7727400.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,34.56517700000006,ms,65.78662300000006,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,303.7824980000014,ms,2089.645261000002,ms,0.0,ms,0,ms,772740.0,kb,5409180.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,19.993276,ms,36.515396999999986,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,526.1588979999981,ms,3651.17603,ms,0.0,ms,0,ms,3090960.0,kb,21636720.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,116.97286800000002,ms,230.09172299999997,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,1624.728854000003,ms,6497.812433000011,ms,0.0,ms,0,ms,3090960.0,kb,15454800.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,148.56370399999994,ms,293.035501,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
6,1981.8805029999967,ms,3967.537510999995,ms,0.0,ms,0,ms,4636440.0,kb,13909320.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,149.67783099999977,ms,1004.7551869999949,ms,0.0,ms,0,ms,193185.0,kb,1352295.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,8.799603000000003,ms,14.372969999999988,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,113.96492099999936,ms,770.5319699999981,ms,0.0,ms,0,ms,772740.0,kb,5409180.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,13.123240999999988,ms,23.431947000000008,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,430.4307060000002,ms,1721.2617349999987,ms,0.0,ms,0,ms,772740.0,kb,3863700.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,15.571833000000002,ms,28.28588600000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,164.29442400000028,ms,1121.9992369999952,ms,0.0,ms,0,ms,289777.5,kb,2028442.5,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,9.071449000000005,ms,15.206775000000007,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,176.06566299999994,ms,1206.7337540000024,ms,0.0,ms,0,ms,1159110.0,kb,8113770.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,17.12837100000002,ms,31.443287000000012,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,844.0311499999999,ms,3376.5696490000014,ms,0.0,ms,0,ms,1159110.0,kb,5795550.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,33.64098299999998,ms,63.87979100000006,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,216.3933079999999,ms,1479.480235999996,ms,0.0,ms,0,ms,289777.5,kb,2028442.5,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,9.235315999999996,ms,15.381034999999985,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,172.96818100000067,ms,1181.487361000001,ms,0.0,ms,0,ms,1159110.0,kb,8113770.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,17.076625999999994,ms,31.32208200000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,844.2584940000012,ms,3377.6104989999953,ms,0.0,ms,0,ms,1159110.0,kb,5795550.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,33.39716900000001,ms,63.79119399999997,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,301.5090230000006,ms,2071.3675539999995,ms,0.0,ms,0,ms,386370.0,kb,2704590.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,11.071603000000001,ms,18.838486999999983,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,274.72394700000007,ms,1888.4406990000073,ms,0.0,ms,0,ms,1545480.0,kb,10818360.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,21.703362999999996,ms,40.35332600000004,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,1410.4026640000013,ms,5640.958750000004,ms,0.0,ms,0,ms,1545480.0,kb,7727400.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,59.596051999999965,ms,115.64641300000012,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
11,765.2626949999998,ms,1534.942581,ms,0.0,ms,0,ms,2149680.0,kb,6449040.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,126.1299190000003,ms,836.2613610000005,ms,0.0,ms,0,ms,89570.0,kb,626990.0,kb,0.0,kb,0.0,kb,354,737476
squeeze_activation,8.958581999999998,ms,14.747429000000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,89.39023300000022,ms,591.148178999999,ms,0.0,ms,0,ms,358280.0,kb,2507960.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1_activation,9.924041000000006,ms,16.710668999999985,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,414.9360529999996,ms,1659.4085340000006,ms,0.0,ms,0,ms,358280.0,kb,1791400.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3_activation,9.542300000000003,ms,16.32560299999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
0,0.4855969999999999,ms,0.4855969999999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
1,45.49040199999979,ms,287.4341089999996,ms,0.0,ms,0,ms,5598.125,kb,39186.875,kb,0.0,kb,0.0,kb,354,737476
2,4.041155999999996,ms,5.506366999999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
3,17.149551000000024,ms,54.71417700000002,ms,0.0,ms,0,ms,33.125,kb,135.265625,kb,0.0,kb,0.0,kb,354,737476
