MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,43.50582800000004,ms,162.9368470000004,ms,323.89523202705385,ms,1282.2517427358628,ms,0.0,kb,0.0,kb,9446414.0,kb,37810436.0,kb,354,737476
1,9.578997,ms,13.613354000000001,ms,58.39404793453217,ms,112.90204778957367,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
2,15.098691999999975,ms,31.547862000000013,ms,76.06396777439117,ms,150.28457586956023,ms,0.0,kb,0.0,kb,7077398.0,kb,21232194.0,kb,354,737476
squeeze,32.80379399999998,ms,122.59661700000005,ms,49.175072154045104,ms,185.95936166667937,ms,0.0,kb,0.0,kb,446588.5,kb,1792531.5,kb,354,737476
squeeze_activation,8.346852999999992,ms,11.677536000000002,ms,8.208640001773833,ms,12.533119968891144,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,31.943394999999953,ms,119.37919700000016,ms,41.94684814548492,ms,157.370303440094,ms,0.0,kb,0.0,kb,1547892.0,kb,6197763.0,kb,354,737476
expand1x1_activation,8.214876,ms,11.453783999999999,ms,14.393280089378356,ms,25.401888023376465,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,31.908943000000008,ms,119.18643599999987,ms,65.73993606376648,ms,252.45507244586943,ms,0.0,kb,0.0,kb,1565079.5,kb,6266513.0,kb,354,737476
expand3x3_activation,8.245645999999994,ms,11.514854000000007,ms,14.47984004020691,ms,25.55139206981659,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,31.357801000000045,ms,116.69859299999995,ms,53.98076760864258,ms,205.38719903850554,ms,0.0,kb,0.0,kb,499093.5,kb,2002551.5,kb,354,737476
squeeze_activation,8.248618999999994,ms,11.51718,ms,8.104896018505096,ms,12.360639982700349,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,31.640995999999923,ms,117.96484600000008,ms,41.712863865852356,ms,156.3410876750946,ms,0.0,kb,0.0,kb,1566105.5,kb,6270617.0,kb,354,737476
expand1x1_activation,8.159540999999994,ms,11.385657000000002,ms,13.578943997859955,ms,23.793375974178314,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,31.70361999999998,ms,118.31750199999968,ms,65.52143954753876,ms,251.60438473510743,ms,0.0,kb,0.0,kb,1552983.5,kb,6218129.0,kb,354,737476
expand3x3_activation,8.171987999999995,ms,11.395998999999994,ms,14.133056035518646,ms,24.882656004428863,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,31.82557399999997,ms,118.72351100000006,ms,56.92963211536407,ms,217.13792094612123,ms,0.0,kb,0.0,kb,901372.0,kb,3611665.5,kb,354,737476
squeeze_activation,8.353607000000002,ms,11.59497800000001,ms,8.624928011417389,ms,13.601376025676727,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,31.616833000000018,ms,117.95391400000005,ms,64.12512033748627,ms,246.09110481357575,ms,0.0,kb,0.0,kb,3091496.0,kb,12372179.0,kb,354,737476
expand1x1_activation,8.169625000000003,ms,11.401272000000004,ms,23.033888191223145,ms,42.71788845443726,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,34.918471999999966,ms,131.15916199999995,ms,168.46057547855378,ms,663.3737914705276,ms,0.0,kb,0.0,kb,3099770.0,kb,12540857.0,kb,354,737476
expand3x3_activation,8.198985000000004,ms,11.430591999999992,ms,23.03107205581665,ms,42.69811228752136,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
6,12.720092999999999,ms,26.80536700000005,ms,52.51494344520569,ms,103.53577537727357,ms,0.0,kb,0.0,kb,4639438.0,kb,13918314.0,kb,354,737476
squeeze,31.783266000000022,ms,117.23928600000018,ms,40.181407777786255,ms,149.9870719604492,ms,0.0,kb,0.0,kb,193273.5,kb,773094.0,kb,354,737476
squeeze_activation,8.145482000000007,ms,11.388971000000003,ms,8.024607996463775,ms,11.942431976795197,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand1x1,32.14586199999994,ms,119.88337000000035,ms,36.11948814868927,ms,134.02822384929658,ms,0.0,kb,0.0,kb,1030557.0,kb,4123816.5,kb,354,737476
expand1x1_activation,8.797937000000012,ms,12.251082000000011,ms,9.05532797241211,ms,14.330687979698181,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
expand3x3,31.895730999999923,ms,119.26972100000002,ms,66.7018558921814,ms,256.69350266456604,ms,0.0,kb,0.0,kb,1040722.5,kb,4304667.0,kb,354,737476
expand3x3_activation,7.909408999999996,ms,11.076811000000008,ms,8.27833599948883,ms,13.204032033920289,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,737476
squeeze,28.468538000000052,ms,104.55976900000027,ms,49.7677438955307,ms,188.83020838165282,ms,0.0,kb,0.0,kb,289910.0,kb,1159640.0,kb,354,737476
