MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,5937.868297000013,ms,23749.141611000006,ms,0.0,ms,0,ms,26593280.0,kb,132966400.0,kb,0.0,kb,0.0,kb,354,143683628
1,1721.1223719999984,ms,3435.3028970000023,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
2,29134.287452999983,ms,116536.0995399999,ms,0.0,ms,0,ms,26593280.0,kb,132966400.0,kb,0.0,kb,0.0,kb,354,143683628
3,1714.3002989999986,ms,3421.727768999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
4,5496.023848999982,ms,11007.869693000015,ms,0.0,ms,0,ms,19944960.0,kb,59834880.0,kb,0.0,kb,0.0,kb,354,143683628
5,13396.599030000016,ms,53587.77117900003,ms,0.0,ms,0,ms,13296640.0,kb,66483200.0,kb,0.0,kb,0.0,kb,354,143683628
6,808.636829,ms,1610.4952240000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
7,25348.10661599997,ms,101400.09484399996,ms,0.0,ms,0,ms,13296640.0,kb,66483200.0,kb,0.0,kb,0.0,kb,354,143683628
8,808.6678370000004,ms,1610.5437760000002,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
9,2265.913726999999,ms,4544.931397000005,ms,0.0,ms,0,ms,9972480.0,kb,29917440.0,kb,0.0,kb,0.0,kb,354,143683628
10,11448.184698000008,ms,45796.20878299996,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,143683628
11,385.34260899999947,ms,764.1786550000005,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
12,22723.60920800001,ms,90897.65442899997,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354,143683628
13,345.77830400000005,ms,684.914051,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
