MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS,NUMBER_OF_PARAMS
0,46.76337999999996,ms,175.24714600000004,ms,272.21337673568723,ms,1075.863872587204,ms,0.0,kb,0.0,kb,26773504.0,kb,107198269.0,kb,354,143683628
1,10.034882,ms,14.174297999999999,ms,152.68179142951965,ms,301.5480636177063,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
2,38.70312799999994,ms,145.2561269999998,ms,1026.85385567379,ms,4096.945982956886,ms,0.0,kb,0.0,kb,26683904.0,kb,106877393.0,kb,354,143683628
3,8.992291,ms,12.563379000000015,ms,151.85052801704407,ms,300.31187185668944,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
4,16.174145,ms,34.41287599999999,ms,140.0213436460495,ms,278.28713514232635,ms,0.0,kb,0.0,kb,19945744.0,kb,59837232.0,kb,354,143683628
5,35.55060699999991,ms,132.938796,ms,513.3678408470154,ms,2043.2636152830123,ms,0.0,kb,0.0,kb,13296640.0,kb,53469937.0,kb,354,143683628
6,8.774198000000005,ms,12.243981000000005,ms,78.9589443268776,ms,154.60108827829362,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
7,34.51955400000002,ms,128.66599099999974,ms,827.6166410865784,ms,3300.3200647821427,ms,0.0,kb,0.0,kb,13296640.0,kb,53775616.0,kb,354,143683628
8,8.880044000000009,ms,12.399722999999994,ms,79.14108845520019,ms,154.9145285434723,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
9,14.158153000000006,ms,29.99101000000001,ms,75.24934424877166,ms,148.98947194290162,ms,0.0,kb,0.0,kb,9972480.0,kb,29917440.0,kb,354,143683628
10,33.69542900000003,ms,125.63232999999984,ms,468.6215992136002,ms,1864.6151382808685,ms,0.0,kb,0.0,kb,6648320.0,kb,27727249.0,kb,354,143683628
11,8.070959000000014,ms,11.329829999999996,ms,42.231071969509124,ms,81.37635177659989,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354,143683628
