MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv0,1965.7697729999986,ms,7860.121981999999,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354
norm0,675.8343019999992,ms,2032.853560999998,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354
relu0,347.23969,ms,690.8975510000008,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
pool0,2369.2576000000054,ms,4742.841113000012,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354
norm1,173.44265199999992,ms,524.8266629999993,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354
relu1,28.64143,ms,54.296614999999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,362.8671519999988,ms,2394.5732550000116,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354
norm2,352.23988399999956,ms,1062.3352480000017,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354
relu2,154.32165500000016,ms,305.414722,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,1680.9567090000019,ms,6721.061046999995,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
norm1,259.5526559999998,ms,782.3608149999998,ms,0.0,ms,0,ms,2493120.0,kb,12466131.0,kb,0.0,kb,0.0,kb,354
relu1,76.65214800000004,ms,149.85004599999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,485.7704260000021,ms,3181.6117420000114,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354
norm2,344.14148099999966,ms,1039.014461999998,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354
relu2,167.17038299999993,ms,331.013912,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,1684.4658479999969,ms,6734.838463999999,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
norm1,327.24427300000013,ms,985.0085460000004,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354
relu1,167.10145900000037,ms,330.558387,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,646.7778030000059,ms,4241.080171000022,ms,0.0,ms,0,ms,3324160.0,kb,23269120.0,kb,0.0,kb,0.0,kb,354
norm2,343.0320339999997,ms,1038.2174399999992,ms,0.0,ms,0,ms,3324160.0,kb,16621508.0,kb,0.0,kb,0.0,kb,354
relu2,171.71814600000002,ms,339.93494,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,1687.6302179999975,ms,6747.292616999987,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
