MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv0,36.11536600000005,ms,132.461205,ms,170.78886417102814,ms,670.5451830043793,ms,0.0,kb,0.0,kb,6648663.0,kb,26620848.0,kb,354
norm0,21.114729000000025,ms,62.51274399999992,ms,61.07760040283203,ms,177.56921635627748,ms,0.0,kb,0.0,kb,6706491.0,kb,33532455.0,kb,354
relu0,10.606247999999997,ms,15.097965000000013,ms,43.6977601108551,ms,83.27097613620758,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
pool0,16.96642799999998,ms,35.71273899999996,ms,58.01158408355713,ms,113.91414362335205,ms,0.0,kb,0.0,kb,4986434.0,kb,14959302.0,kb,354
norm1,18.577690999999977,ms,54.95732899999996,ms,28.222304138183596,ms,79.68633609962464,ms,0.0,kb,0.0,kb,1665392.0,kb,8326960.0,kb,354
relu1,9.122422000000006,ms,12.698538999999991,ms,15.860799939632416,ms,27.98966388273239,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,24.974253000000026,ms,89.98129400000009,ms,57.53654377269745,ms,219.7253439388275,ms,0.0,kb,0.0,kb,3324305.0,kb,13303769.0,kb,354
norm2,18.714950000000023,ms,55.69280400000007,ms,38.89222382736206,ms,111.74271915054321,ms,0.0,kb,0.0,kb,3324305.0,kb,16621525.0,kb,354
relu2,9.069783000000005,ms,12.593287000000007,ms,24.67001580429077,ms,45.605695920944214,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,27.678870999999944,ms,101.00280100000003,ms,121.44505646133423,ms,475.4997762870789,ms,0.0,kb,0.0,kb,843048.0,kb,3513969.0,kb,354
norm1,18.223265000000023,ms,53.98393899999994,ms,33.2038719997406,ms,94.6300800228119,ms,0.0,kb,0.0,kb,2510292.0,kb,12551460.0,kb,354
relu1,8.955107999999997,ms,12.442642999999999,ms,20.177471901893615,ms,36.68041579437256,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,24.06121499999997,ms,86.35821399999986,ms,70.08374386692047,ms,270.10844668769835,ms,0.0,kb,0.0,kb,3324305.0,kb,13303769.0,kb,354
norm2,18.47596699999999,ms,54.89133400000004,ms,38.63702365875244,ms,111.0491517829895,ms,0.0,kb,0.0,kb,3324452.0,kb,16622260.0,kb,354
relu2,8.926000999999996,ms,12.409355,ms,24.509951984405518,ms,45.40800012683869,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,24.726875000000046,ms,89.20615300000011,ms,118.6751363067627,ms,464.69350508499144,ms,0.0,kb,0.0,kb,848780.0,kb,3536897.0,kb,354
norm1,18.046363999999972,ms,53.241927999999966,ms,38.27935989570618,ms,109.92960011100769,ms,0.0,kb,0.0,kb,3324552.0,kb,16622760.0,kb,354
relu1,8.907813,ms,12.381737000000001,ms,24.536319896697997,ms,45.44380802345276,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,23.815979000000024,ms,85.52694500000007,ms,82.93027179050445,ms,321.7033279266357,ms,0.0,kb,0.0,kb,3324940.0,kb,13306309.0,kb,354
norm2,18.344654999999992,ms,54.44898399999999,ms,38.508223531723026,ms,110.66134347343444,ms,0.0,kb,0.0,kb,3325575.0,kb,16627875.0,kb,354
relu2,8.904791000000005,ms,12.390139999999997,ms,24.547455906391143,ms,45.495552149295804,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,24.293410999999974,ms,87.49960999999986,ms,118.30723237609864,ms,463.2883204574585,ms,0.0,kb,0.0,kb,853108.0,kb,3554209.0,kb,354
norm1,18.175692000000016,ms,53.858644,ms,43.734656078338624,ms,126.29328044509887,ms,0.0,kb,0.0,kb,4156646.0,kb,20783230.0,kb,354
relu1,9.031718999999997,ms,12.510534999999994,ms,29.158751928806304,ms,54.55235191965103,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,23.35517699999998,ms,84.0250280000001,ms,95.58304057788848,ms,372.4822388591766,ms,0.0,kb,0.0,kb,3327837.0,kb,13317897.0,kb,354
norm2,17.116411999999993,ms,51.124708000000005,ms,37.67308761978149,ms,108.46675148200988,ms,0.0,kb,0.0,kb,3331700.0,kb,16658500.0,kb,354
relu2,8.269853000000001,ms,11.579292999999995,ms,24.186400054931642,ms,45.007360219955444,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,22.924081,ms,82.80717200000004,ms,117.531072514534,ms,460.6858569126129,ms,0.0,kb,0.0,kb,852876.0,kb,3553281.0,kb,354
norm1,16.171541000000005,ms,48.25626000000012,ms,47.61184046173096,ms,138.5512019634247,ms,0.0,kb,0.0,kb,5033416.0,kb,25167080.0,kb,354
relu1,8.092825999999995,ms,11.35128,ms,32.9834878783226,ms,62.63974402284622,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.364132000000012,ms,77.05280599999998,ms,107.32643151474,ms,420.2033899822235,ms,0.0,kb,0.0,kb,3354699.0,kb,13425345.0,kb,354
norm2,16.598305999999987,ms,49.497178999999996,ms,37.29465606498718,ms,107.45324854087829,ms,0.0,kb,0.0,kb,3383431.0,kb,16917155.0,kb,354
relu2,8.023622999999997,ms,11.229435999999994,ms,24.051872395515442,ms,44.814464389801024,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,21.862789999999997,ms,79.09793700000014,ms,116.68879894065857,ms,457.73913663196566,ms,0.0,kb,0.0,kb,856180.5,kb,3566499.0,kb,354
norm1,16.322374999999997,ms,48.997043000000055,ms,53.033951824188236,ms,154.84326358604432,ms,0.0,kb,0.0,kb,5818848.0,kb,29094240.0,kb,354
relu1,8.042721999999989,ms,11.274334000000007,ms,37.38691223096848,ms,71.4788802189827,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv1,21.545483999999973,ms,77.79417300000014,ms,121.05110395622253,ms,475.1647367601395,ms,0.0,kb,0.0,kb,3420319.0,kb,13687825.0,kb,354
norm2,16.575070999999973,ms,49.47628800000012,ms,37.24972799491882,ms,107.29372840309144,ms,0.0,kb,0.0,kb,3424177.0,kb,17120885.0,kb,354
relu2,8.057539000000004,ms,11.313278999999994,ms,24.11360032606125,ms,44.89078445672989,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
conv2,22.132499000000028,ms,80.17268600000013,ms,116.93299166584015,ms,458.67577770709994,ms,0.0,kb,0.0,kb,856956.0,kb,3569601.0,kb,354
norm,16.508554999999976,ms,49.579739999999994,ms,58.51724816703796,ms,171.16012822914124,ms,0.0,kb,0.0,kb,6649104.0,kb,33245520.0,kb,354
