MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,31.635486,ms,126.49351000000001,ms,0.0,ms,0,ms,18816.0,kb,94080.0,kb,0.0,kb,0.0,kb,1
bn1,3.4302829999999997,ms,10.270272,ms,0.0,ms,0,ms,18816.0,kb,94081.0,kb,0.0,kb,0.0,kb,1
relu,1.319092,ms,2.6169979999999997,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,1
maxpool,8.978934,ms,17.961658000000003,ms,0.0,ms,0,ms,14112.0,kb,42336.0,kb,0.0,kb,0.0,kb,1
conv1,18.913854,ms,75.63232200000002,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn1,0.402745,ms,1.210628,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
relu,0.34481,ms,0.665712,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,21.507286,ms,85.98250900000001,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn2,0.41291999999999984,ms,1.2428979999999996,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
conv1,18.553111,ms,74.19076799999998,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn1,0.44673299999999994,ms,1.34671,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
relu,0.40095299999999995,ms,0.776303,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,18.811269,ms,75.228277,ms,0.0,ms,0,ms,4704.0,kb,23520.0,kb,0.0,kb,0.0,kb,1
bn2,0.424766,ms,1.277483,ms,0.0,ms,0,ms,4704.0,kb,23521.0,kb,0.0,kb,0.0,kb,1
conv1,11.591058,ms,46.345399,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn1,0.298481,ms,0.8997890000000001,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
relu,0.242421,ms,0.46202599999999994,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,16.567248000000003,ms,66.25199300000001,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn2,0.179906,ms,0.5426760000000002,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
0,4.242698000000001,ms,16.955607000000004,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
1,0.23678200000000005,ms,0.713974,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
conv1,14.888779999999999,ms,59.53531199999999,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn1,0.17014399999999996,ms,0.511909,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
relu,0.24898399999999998,ms,0.45739599999999997,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,16.682807999999998,ms,66.71295999999998,ms,0.0,ms,0,ms,2352.0,kb,11760.0,kb,0.0,kb,0.0,kb,1
bn2,0.198649,ms,0.5986920000000001,ms,0.0,ms,0,ms,2352.0,kb,11762.0,kb,0.0,kb,0.0,kb,1
conv1,9.699993000000001,ms,38.786012,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn1,0.20545100000000002,ms,0.6195759999999999,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
relu,0.27233799999999997,ms,0.509758,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,13.986843,ms,55.931585,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn2,0.113876,ms,0.34435699999999997,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
0,2.318737,ms,9.262506,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
1,0.17315600000000003,ms,0.522741,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
conv1,13.298134,ms,53.177962,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn1,0.108482,ms,0.3291180000000001,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
relu,0.22463199999999994,ms,0.43063399999999996,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,14.31946,ms,57.261532,ms,0.0,ms,0,ms,1176.0,kb,5880.0,kb,0.0,kb,0.0,kb,1
bn2,0.11495400000000003,ms,0.347757,ms,0.0,ms,0,ms,1176.0,kb,5884.0,kb,0.0,kb,0.0,kb,1
conv1,9.854366,ms,39.400335999999996,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn1,0.14179299999999997,ms,0.4281250000000001,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
relu,0.12967599999999999,ms,0.239476,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,22.27004,ms,89.064233,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn2,0.13830499999999998,ms,0.418895,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
0,1.59886,ms,6.379469999999999,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
1,0.12334800000000001,ms,0.374193,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
conv1,16.887018,ms,67.53480600000003,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn1,0.12497799999999999,ms,0.37815200000000004,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
relu,0.12421700000000001,ms,0.22789199999999998,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,2
conv2,17.054537,ms,68.20144200000001,ms,0.0,ms,0,ms,588.0,kb,2940.0,kb,0.0,kb,0.0,kb,1
bn2,0.13596399999999997,ms,0.410941,ms,0.0,ms,0,ms,588.0,kb,2948.0,kb,0.0,kb,0.0,kb,1
avgpool,0.15874000000000002,ms,0.48399700000000007,ms,0.0,ms,0,ms,12.0,kb,48.0078125,kb,0.0,kb,0.0,kb,1
fc,0.15227299999999996,ms,0.171205,ms,0.0,ms,0,ms,0.0703125,kb,0.0703125,kb,0.0,kb,0.0,kb,1
