MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,1956.5704270000012,ms,7821.690995999993,ms,0.0,ms,0,ms,6648320.0,kb,33241600.0,kb,0.0,kb,0.0,kb,354
bn1,680.5160800000009,ms,2043.4101940000007,ms,0.0,ms,0,ms,6648320.0,kb,33241954.0,kb,0.0,kb,0.0,kb,354
relu,352.20865199999986,ms,700.9152330000018,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
maxpool,2129.5802249999992,ms,4261.001183999994,ms,0.0,ms,0,ms,4986240.0,kb,14958720.0,kb,0.0,kb,0.0,kb,354
conv1,1525.535807999999,ms,6096.98707300001,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354
bn1,117.72144799999991,ms,354.3964320000014,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354
relu,62.264311999999954,ms,118.7371889999999,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1492.934305000001,ms,5967.907906000011,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354
bn2,123.66402599999967,ms,372.5570880000003,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354
conv1,1505.9597410000001,ms,6019.035496,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354
bn1,130.43183900000008,ms,392.9272589999993,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354
relu,60.867990000000034,ms,115.92613599999991,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1548.6771070000036,ms,6190.3679909999955,ms,0.0,ms,0,ms,1662080.0,kb,8310400.0,kb,0.0,kb,0.0,kb,354
bn2,136.91095900000005,ms,412.59483899999935,ms,0.0,ms,0,ms,1662080.0,kb,8310754.0,kb,0.0,kb,0.0,kb,354
conv1,912.2229429999996,ms,3644.1520419999974,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
bn1,71.37955499999994,ms,215.63022599999994,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354
relu,33.649664000000094,ms,61.816432000000006,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1437.8103540000013,ms,5747.322759999994,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
bn2,52.339241000000044,ms,158.77423400000026,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354
0,361.14486399999987,ms,1441.663807999998,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
1,56.5276600000001,ms,171.44667699999962,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354
conv1,1438.9575819999998,ms,5752.240589000005,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
bn1,54.98811299999988,ms,166.68116500000005,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354
relu,30.28261999999999,ms,55.379733999999885,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1443.911340999997,ms,5772.607068000002,ms,0.0,ms,0,ms,831040.0,kb,4155200.0,kb,0.0,kb,0.0,kb,354
bn2,57.03708000000007,ms,172.93424900000016,ms,0.0,ms,0,ms,831040.0,kb,4155908.0,kb,0.0,kb,0.0,kb,354
conv1,886.0448280000008,ms,3540.607582000002,ms,0.0,ms,0,ms,415520.0,kb,2077600.0,kb,0.0,kb,0.0,kb,354
bn1,41.15131000000002,ms,125.40071599999983,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354
relu,21.183990999999995,ms,37.311160000000044,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1541.472478,ms,6162.778091000006,ms,0.0,ms,0,ms,415520.0,kb,2077600.0,kb,0.0,kb,0.0,kb,354
bn2,37.19420999999998,ms,113.5564819999999,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354
0,210.45226199999985,ms,839.0899359999992,ms,0.0,ms,0,ms,415520.0,kb,2077600.0,kb,0.0,kb,0.0,kb,354
1,37.73536999999999,ms,115.19467800000012,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354
conv1,1521.1335180000026,ms,6081.729872999991,ms,0.0,ms,0,ms,415520.0,kb,2077600.0,kb,0.0,kb,0.0,kb,354
bn1,37.866709000000085,ms,115.56823999999996,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354
relu,20.320118999999995,ms,35.950902999999954,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1522.4954169999985,ms,6087.246787,ms,0.0,ms,0,ms,415520.0,kb,2077600.0,kb,0.0,kb,0.0,kb,354
bn2,38.261377999999965,ms,116.9033050000004,ms,0.0,ms,0,ms,415520.0,kb,2079016.0,kb,0.0,kb,0.0,kb,354
conv1,1047.9098850000003,ms,4188.708038999999,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354
bn1,30.59770899999999,ms,93.51788300000003,ms,0.0,ms,0,ms,207760.0,kb,1041632.0,kb,0.0,kb,0.0,kb,354
relu,16.118424999999988,ms,27.138090999999964,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1904.2527259999981,ms,7613.83667900001,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354
bn2,31.80684700000001,ms,97.01435299999979,ms,0.0,ms,0,ms,207760.0,kb,1041632.0,kb,0.0,kb,0.0,kb,354
0,178.9209929999999,ms,711.5235190000004,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354
1,28.677075999999975,ms,87.98157300000005,ms,0.0,ms,0,ms,207760.0,kb,1041632.0,kb,0.0,kb,0.0,kb,354
conv1,1838.4784349999975,ms,7351.617133999999,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354
bn1,31.392357999999966,ms,95.79765200000013,ms,0.0,ms,0,ms,207760.0,kb,1041632.0,kb,0.0,kb,0.0,kb,354
relu,17.201150999999985,ms,28.979562999999985,ms,0.0,ms,0,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,1794.7106520000011,ms,7175.163162000015,ms,0.0,ms,0,ms,207760.0,kb,1038800.0,kb,0.0,kb,0.0,kb,354
bn2,31.63131099999997,ms,96.52048800000011,ms,0.0,ms,0,ms,207760.0,kb,1041632.0,kb,0.0,kb,0.0,kb,354
avgpool,21.052335999999954,ms,66.84896199999991,ms,0.0,ms,0,ms,4240.0,kb,16962.765625,kb,0.0,kb,0.0,kb,354
fc,16.714448000000008,ms,36.68728999999994,ms,0.0,ms,0,ms,33.125,kb,66.25,kb,0.0,kb,0.0,kb,354
