MODULE,SELF_CPU_TOTAL,SELF_CPU_TIME_UOM,CPU_TOTAL,CPU_TOTAL_UOM,SELF_GPU_TOTAL,SELF_GPU_UOM,GPU_TOTAL,GPU_TOTAL_UOM,SELF_CPU MEM,SELF_CPU_MEM_UOM,CPU_MEM,CPU_MEM_UOM,SELF_GPU_MEM,SELF_GPU_MEM_UOM,GPU_MEM,GPU_MEM_UOM,NUMBER_OF_CALLS
conv1,166.96886400000005,ms,656.8955170000002,ms,302.1520287628174,ms,1197.0729859132766,ms,0.0,kb,0.0,kb,6648320.0,kb,26619476.0,kb,354
bn1,19.578470999999993,ms,58.70303999999985,ms,60.169760328292845,ms,175.29238408470152,ms,0.0,kb,0.0,kb,6648320.0,kb,33241600.0,kb,354
relu,9.557615999999998,ms,13.682157000000002,ms,43.02857625770569,ms,82.31635219287872,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,354
maxpool,15.088863999999987,ms,31.734119000000028,ms,56.504415928840636,ms,111.25513641262054,ms,0.0,kb,0.0,kb,4987608.0,kb,14962824.0,kb,354
conv1,24.927208999999994,ms,91.2838930000002,ms,130.52172803115846,ms,512.8223675928116,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354
bn1,17.170955999999993,ms,51.13287700000002,ms,26.939392032623292,ms,76.2919043750763,ms,0.0,kb,0.0,kb,1746016.0,kb,8730080.0,kb,354
relu,16.052233,ms,22.384602,ms,30.274783894062043,ms,53.85171191740036,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,22.246548999999984,ms,80.34248700000002,ms,127.2234238166809,ms,499.6845111703873,ms,0.0,kb,0.0,kb,1662568.0,kb,6792049.0,kb,354
bn2,17.074121000000016,ms,51.13238300000012,ms,26.938976051330567,ms,76.29347194290162,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
conv1,22.418459999999932,ms,81.09563100000021,ms,127.48656022071839,ms,500.7014720220566,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354
bn1,16.999145999999946,ms,50.692285999999996,ms,26.802464139938355,ms,75.88691199684143,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
relu,15.897976999999997,ms,22.157186000000017,ms,30.130623973369598,ms,53.65843205022812,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,22.025980999999952,ms,79.47724999999977,ms,127.11846386528015,ms,499.3074234867096,ms,0.0,kb,0.0,kb,1662080.0,kb,6790097.0,kb,354
bn2,16.960264000000024,ms,50.74022799999989,ms,26.80118429374695,ms,75.91318411064148,ms,0.0,kb,0.0,kb,1662080.0,kb,8310400.0,kb,354
conv1,21.318402000000052,ms,75.83385799999994,ms,138.10003264331817,ms,543.1936319408417,ms,0.0,kb,0.0,kb,963392.0,kb,3853568.0,kb,354
bn1,17.10170100000002,ms,51.153075000000015,ms,21.031840023040772,ms,58.578080310821534,ms,0.0,kb,0.0,kb,831792.0,kb,4158960.0,kb,354
relu,16.02646199999997,ms,22.33349399999999,ms,17.002975994586944,ms,27.343680062770844,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,22.166784000000042,ms,79.90859599999986,ms,133.6481602344513,ms,525.3607999582291,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354
bn2,16.926625999999974,ms,50.46100699999999,ms,21.90732791519165,ms,61.282816011428835,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354
0,22.49346600000006,ms,81.4529819999998,ms,34.48211210346222,ms,128.76188734722137,ms,0.0,kb,0.0,kb,831040.0,kb,3325925.0,kb,354
1,16.829067000000013,ms,50.10674099999997,ms,19.82976021385193,ms,55.01660836982727,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354
conv1,21.96033500000002,ms,79.14386299999991,ms,133.5625606508255,ms,525.0396805114746,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354
bn1,17.409817999999994,ms,52.23999299999996,ms,22.384447986602783,ms,62.490624017715454,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354
relu,16.61667999999999,ms,23.183604000000017,ms,17.83561604976654,ms,28.483936036109924,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.459006999999975,ms,77.42072399999999,ms,133.3354241991043,ms,524.4076799850463,ms,0.0,kb,0.0,kb,831040.0,kb,3913152.5,kb,354
bn2,16.310304000000013,ms,48.904430000000005,ms,21.503775884628297,ms,60.105664525985716,ms,0.0,kb,0.0,kb,831040.0,kb,4155200.0,kb,354
conv1,19.551504999999967,ms,69.1160820000001,ms,167.84886450576784,ms,662.4821457719803,ms,0.0,kb,0.0,kb,416984.0,kb,1667936.0,kb,354
bn1,16.186859000000048,ms,48.037403000000104,ms,17.547168182373046,ms,48.24502394294739,ms,0.0,kb,0.0,kb,501408.0,kb,2507040.0,kb,354
relu,15.285890000000009,ms,21.283923999999995,ms,15.044704070568084,ms,23.236128092288972,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.811399000000023,ms,79.129284,ms,131.38304047584535,ms,516.6653121862412,ms,0.0,kb,0.0,kb,587784.0,kb,4617090.0,kb,354
bn2,16.159789000000018,ms,48.00278700000001,ms,17.354176107406616,ms,47.721663940429686,ms,0.0,kb,0.0,kb,587784.0,kb,2938920.0,kb,354
0,21.285985999999948,ms,76.92201999999985,ms,35.46105605888367,ms,132.99062350845338,ms,0.0,kb,0.0,kb,587784.0,kb,2351665.5,kb,354
1,16.136880999999967,ms,48.03150199999999,ms,16.827359937667847,ms,46.15465585899353,ms,0.0,kb,0.0,kb,587680.0,kb,2938400.0,kb,354
conv1,21.495833999999984,ms,77.68311800000005,ms,131.34966448402406,ms,516.4215043878555,ms,0.0,kb,0.0,kb,587680.0,kb,4616674.0,kb,354
bn1,16.208638,ms,48.23861300000005,ms,17.361824169158936,ms,47.76780801391602,ms,0.0,kb,0.0,kb,503904.0,kb,2519520.0,kb,354
relu,15.40464299999999,ms,21.449370000000002,ms,15.179552064418793,ms,23.40281606245041,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.617873999999993,ms,78.14664700000012,ms,130.73478371715547,ms,514.0743042020798,ms,0.0,kb,0.0,kb,535536.0,kb,4408098.0,kb,354
bn2,16.338345,ms,48.64189999999995,ms,17.509696162223815,ms,48.16287995624542,ms,0.0,kb,0.0,kb,568120.0,kb,2840600.0,kb,354
conv1,22.196276999999995,ms,80.54987799999999,ms,172.77046361541747,ms,682.2212786884307,ms,0.0,kb,0.0,kb,207760.0,kb,1765078.0,kb,354
bn1,16.23562399999999,ms,48.43931600000006,ms,16.955711973190308,ms,46.49932777786255,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
relu,15.562697000000005,ms,21.629404999999995,ms,15.381184043884277,ms,22.81788811969757,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.981719000000048,ms,79.89176299999986,ms,250.98889424705504,ms,995.026751112938,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn2,16.96311300000001,ms,51.84284200000014,ms,17.85209616947174,ms,49.14524796199799,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
0,21.209922000000045,ms,76.63478299999989,ms,37.94841609191894,ms,142.97235216903687,ms,0.0,kb,0.0,kb,207760.0,kb,831217.0,kb,354
1,16.275519,ms,48.596609000000115,ms,16.944063945770264,ms,46.51206366157532,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
conv1,21.687292000000003,ms,78.34715299999992,ms,251.24950243854522,ms,996.1127322378159,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn1,16.761981000000002,ms,50.523268999999964,ms,17.635328053474428,ms,48.46022387981415,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
relu,15.532900000000001,ms,21.56571000000001,ms,15.346880063056945,ms,22.73379214477539,ms,0.0,kb,0.0,kb,0.0,kb,0.0,kb,708
conv2,21.594686999999965,ms,78.08755199999983,ms,250.2969598197937,ms,992.312703048706,ms,0.0,kb,0.0,kb,207760.0,kb,10255936.0,kb,354
bn2,16.35574200000003,ms,48.92715900000005,ms,17.23894413757324,ms,47.37766398048401,ms,0.0,kb,0.0,kb,207760.0,kb,1038800.0,kb,354
avgpool,12.025948999999999,ms,23.764119999999984,ms,14.765120111465453,ms,27.777984121322632,ms,0.0,kb,0.0,kb,4240.0,kb,12720.0,kb,354
fc,24.46328699999998,ms,51.11458099999997,ms,24.932223918914794,ms,44.461023830413815,ms,0.0,kb,0.0,kb,177.0,kb,531.0,kb,354
